,Country,Status,Non-fossil,Fossil,Non-fossil share,Fossil share
0,World,Announced,2023477.4,392566.8,0.837516714305144,0.1624832856948561
3,World,Pre-construction,2992176.1,551015.4,0.8444861362983063,0.15551386370169382
1,World,Construction,950772.0,465831.4,0.6711631498272559,0.3288368501727442
2,World,Operating,3615971.83,4279237.9,0.4579956649232673,0.5420043350767326
0,BRICS,Announced,707171.9,161537.8,0.8140485826277755,0.18595141737222456
3,BRICS,Pre-construction,1368507.4,314172.0,0.8132906363505727,0.18670936364942722
1,BRICS,Construction,740471.6,310041.8,0.7048664015137741,0.2951335984862259
2,BRICS,Operating,1815226.5,1985255.0,0.47763066337778515,0.5223693366222149
0,EU27,Announced,280440.3,5235.0,0.9816749995536891,0.0183250004463109
3,EU27,Pre-construction,497815.5,31758.9,0.9400293896381697,0.05997061036183018
1,EU27,Construction,31547.1,11895.0,0.7261872699524194,0.27381273004758055
2,EU27,Operating,513464.8,286869.2,0.6415631473859663,0.35843685261403363
0,G7,Announced,229787.9,54280.6,0.80891721538995,0.19108278461005004
3,G7,Pre-construction,338974.0,64612.6,0.8399040007770328,0.16009599922296727
1,G7,Construction,70861.3,21738.9,0.7652391679499612,0.23476083205003875
2,G7,Operating,963801.33,1098488.21,0.4673453030266545,0.5326546969733454
0,G20,Announced,1405308.8,253463.1,0.8471983399284736,0.1528016600715264
3,G20,Pre-construction,2389778.5,398485.6,0.857084700118615,0.14291529988138496
1,G20,Construction,848324.7,356793.4,0.7039349089520769,0.296065091047923
2,G20,Operating,3208131.73,3503548.9,0.47799231025091254,0.5220076897490875
0,OECD,Announced,721317.4,82353.6,0.8975282173924405,0.10247178260755957
3,OECD,Pre-construction,1110330.1,85573.4,0.9284445609532876,0.07155543904671238
1,OECD,Construction,129047.8,45760.2,0.7382259393162784,0.26177406068372155
2,OECD,Operating,1469162.93,1511134.9,0.4929584269099709,0.5070415730900291
0,African Union,Announced,286049.5,33394.0,0.8954619518005531,0.10453804819944686
3,African Union,Pre-construction,140362.4,26491.0,0.8412318837973934,0.1587681162026066
1,African Union,Construction,32335.8,21055.2,0.6056414002359948,0.39435859976400517
2,African Union,Operating,64330.6,178919.4,0.2644628982528263,0.7355371017471737
0,Afghanistan,Announced,629.8,0.0,1.0,0.0
3,Afghanistan,Pre-construction,0.0,0.0,0.0,0.0
1,Afghanistan,Construction,0.0,0.0,0.0,0.0
2,Afghanistan,Operating,256.0,105.0,0.7091412742382271,0.29085872576177285
0,Albania,Announced,417.0,0.0,1.0,0.0
3,Albania,Pre-construction,1164.0,520.0,0.6912114014251781,0.3087885985748218
