,Country/Area,coal,oil/gas,solar,wind,hydropower,nuclear,bioenergy,geothermal
Capacity (MW),Estonia,0.0,458.1,503.24908163265303,688.0,0.0,0.0,0.0,0.0
Capacity (MW),Eswatini,0.0,0.0,12.44461942257218,0.0,0.0,0.0,70.0,0.0
Capacity (MW),Ethiopia,0.0,0.0,1.2,564.0,4622.0,0.0,243.0,0.0
Capacity (MW),Faroe Islands,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0
Capacity (MW),Fiji,0.0,0.0,0.0,10.0,80.0,0.0,0.0,0.0
Capacity (MW),Finland,1160.2,2774.0,71.7195,7454.4,1576.0,4622.0,2391.0,0.0
Capacity (MW),France,1907.0,11694.7,11818.168,25318.6,17637.0,64040.0,408.0,0.0
Capacity (MW),French Guiana,0.0,0.0,32.1055,0.0,116.0,0.0,0.0,0.0
Capacity (MW),French Polynesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Gabon,0.0,496.0,0.0,0.0,160.0,0.0,0.0,0.0
Capacity (MW),Georgia,0.0,1167.0,0.0,20.7,2438.0,0.0,0.0,0.0
Capacity (MW),Germany,29700.5,33699.71,26282.632814814813,48171.0,6673.0,0.0,1103.0,0.0
Capacity (MW),Ghana,0.0,3429.0,324.3684645669291,0.0,1584.0,0.0,0.0,0.0
Capacity (MW),Greece,1985.0,7525.6,1396.6181688654353,5313.2,2999.0,0.0,0.0,0.0
Capacity (MW),Guadeloupe,64.0,211.2,52.856,41.0,0.0,0.0,38.0,15.0
Capacity (MW),Guatemala,439.0,356.0,131.762,106.0,681.0,0.0,833.0,0.0
Capacity (MW),Guinea,0.0,104.0,0.0,0.0,770.0,0.0,0.0,0.0
Capacity (MW),Guinea-Bissau,0.0,0.0,9.044619422572179,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Guyana,0.0,0.0,2.32775,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Honduras,105.0,1109.8,514.6462,235.0,513.0,0.0,73.0,35.0
Capacity (MW),Hong Kong,5060.0,6095.5,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Hungary,884.0,3024.5,2643.37365,319.0,0.0,2027.0,245.0,0.0
Capacity (MW),Iceland,0.0,0.0,0.0,0.0,1880.0,0.0,0.0,763.0
Capacity (MW),India,242562.7,27895.7,72300.23887279152,37185.3,43440.0,7540.0,680.0,0.0
Capacity (MW),Indonesia,54683.6,24129.0,566.27,157.0,4552.0,0.0,3977.0,2320.0
Capacity (MW),Iran,0.0,75021.0,579.23,502.0,11918.0,1000.0,0.0,0.0
Capacity (MW),Iraq,0.0,47145.4,710.45,0.0,2436.0,0.0,0.0,0.0
Capacity (MW),Ireland,915.0,4971.1,997.3026224489795,4190.5,377.0,0.0,68.0,0.0
Capacity (MW),Israel,4325.0,13738.0,1966.6666,331.0,300.0,0.0,0.0,0.0
Capacity (MW),Italy,5190.0,48785.0,4446.8412998266895,10198.0,13242.0,0.0,590.0,400.0
Capacity (MW),Jamaica,0.0,713.8,65.24000000000001,99.0,0.0,0.0,0.0,0.0
Capacity (MW),Japan,54167.0,95571.4,31095.15066101695,5045.9,34696.0,11608.0,3435.83,436.0
Capacity (MW),Jordan,0.0,4522.8,1498.01,621.0,0.0,0.0,0.0,0.0
Capacity (MW),Kazakhstan,13421.0,4182.0,1111.456129032258,1224.9,2568.0,0.0,0.0,0.0
Capacity (MW),Kenya,0.0,565.1,234.3284776902887,532.5,590.0,0.0,34.0,814.0
Capacity (MW),Kiribati,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Kosovo,1290.0,0.0,15.5,135.0,0.0,0.0,0.0,0.0
Capacity (MW),Kuwait,0.0,19509.5,68.7,10.0,0.0,0.0,0.0,0.0
Capacity (MW),Kyrgyzstan,813.0,0.0,0.0,0.0,2990.0,0.0,0.0,0.0
Capacity (MW),Laos,1878.0,0.0,67.7,0.0,8503.0,0.0,0.0,0.0
Capacity (MW),Latvia,0.0,1087.0,44.0,100.0,1536.0,0.0,0.0,0.0
Capacity (MW),Lebanon,0.0,2684.0,0.0,0.0,108.0,0.0,0.0,0.0
Capacity (MW),Lesotho,0.0,0.0,26.1,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Liberia,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0
Capacity (MW),Libya,0.0,13917.0,460.27777777777777,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Lithuania,0.0,1148.0,277.7712755102041,914.0,1001.0,0.0,70.0,0.0
Capacity (MW),Luxembourg,0.0,0.0,47.327481481481485,115.5,1294.0,0.0,0.0,0.0
Capacity (MW),Macao,0.0,407.2,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Madagascar,120.0,171.0,43.83569553805774,0.0,91.0,0.0,0.0,0.0
Capacity (MW),Malawi,0.0,0.0,99.36999999999999,0.0,351.0,0.0,0.0,0.0
Capacity (MW),Malaysia,13280.0,16958.0,2078.9175925925924,0.0,6032.0,0.0,0.0,0.0
Capacity (MW),Maldives,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mali,0.0,254.0,126.77847769028871,0.0,340.0,0.0,0.0,0.0
Capacity (MW),Malta,0.0,547.8,3.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Marshall Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Martinique,0.0,279.6,27.95,14.0,0.0,0.0,40.0,0.0
Capacity (MW),Mauritania,0.0,420.0,133.20354330708662,130.0,0.0,0.0,0.0,0.0
Capacity (MW),Mauritius,195.0,0.0,89.55882677165354,39.4,0.0,0.0,0.0,0.0
Capacity (MW),Mayotte,0.0,0.0,14.468018372703412,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mexico,5378.0,50464.0,12787.320454545456,8334.6,11434.0,1608.0,306.0,905.0
Capacity (MW),Micronesia,0.0,0.0,2.001,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Moldova,0.0,1168.0,24.8,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mongolia,1145.0,0.0,107.4,155.0,0.0,0.0,0.0,0.0
Capacity (MW),Montenegro,225.0,0.0,3.2,118.0,649.0,0.0,0.0,0.0
Capacity (MW),Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Morocco,4092.0,1901.0,793.56,1291.0,1395.0,0.0,0.0,0.0
