,Country/Area,coal,oil/gas,solar,wind,hydropower,nuclear,bioenergy,geothermal
Capacity (MW),France,2029.0,12018.1,10765.2,24985.1,17637.0,64040.0,408.0,0.0
Capacity (MW),French Guiana,0.0,0.0,21.0,0.0,116.0,0.0,0.0,0.0
Capacity (MW),Gabon,0.0,496.0,0.0,0.0,160.0,0.0,0.0,0.0
Capacity (MW),Georgia,0.0,1167.0,0.0,20.7,2438.0,0.0,0.0,0.0
Capacity (MW),Germany,32405.5,33567.3,24570.6,46457.0,6673.0,0.0,1103.0,0.0
Capacity (MW),Ghana,0.0,3429.0,214.5,0.0,1584.0,0.0,0.0,0.0
Capacity (MW),Greece,2885.0,7632.6,1242.6,5241.2,2999.0,0.0,0.0,0.0
Capacity (MW),Guadeloupe,64.0,211.2,25.8,41.0,0.0,0.0,38.0,15.0
Capacity (MW),Guatemala,439.0,355.8,127.0,106.0,681.0,0.0,833.0,0.0
Capacity (MW),Guinea,0.0,54.0,0.0,0.0,770.0,0.0,0.0,0.0
Capacity (MW),Guinea-Bissau,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Guyana,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Honduras,105.0,868.9,52.4,235.0,513.0,0.0,73.0,35.0
Capacity (MW),Hong Kong,5760.0,6095.5,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Hungary,884.0,2961.5,2530.0,319.0,0.0,2027.0,245.0,0.0
Capacity (MW),Iceland,0.0,0.0,1.7,0.0,1880.0,0.0,0.0,763.0
Capacity (MW),India,239645.2,28378.7,53114.3,35421.8,43440.0,7540.0,680.0,0.0
Capacity (MW),Indonesia,52316.6,23349.0,26.0,157.0,4552.0,0.0,3977.0,2320.0
Capacity (MW),Iran,0.0,76081.0,187.8,467.0,11918.0,1000.0,0.0,0.0
Capacity (MW),Iraq,0.0,45261.4,0.0,0.0,2436.0,0.0,0.0,0.0
Capacity (MW),Ireland,915.0,4586.0,553.1,4083.5,377.0,0.0,68.0,0.0
Capacity (MW),Israel,4325.0,12906.0,1296.5,124.0,300.0,0.0,0.0,0.0
Capacity (MW),Italy,5190.0,50646.2,4807.5,9989.0,13242.0,0.0,590.0,400.0
Capacity (MW),Jamaica,0.0,713.8,72.0,99.0,0.0,0.0,0.0,0.0
Capacity (MW),Japan,54751.0,95571.4,14459.0,4429.5,34696.0,11608.0,3435.83,436.0
Capacity (MW),Jordan,0.0,4519.8,1192.0,621.0,0.0,0.0,0.0,0.0
Capacity (MW),Kazakhstan,12976.0,4237.0,1141.0,903.7,2568.0,0.0,0.0,0.0
Capacity (MW),Kenya,0.0,565.1,257.0,532.5,590.0,0.0,34.0,814.0
Capacity (MW),Kosovo,1290.0,0.0,11.100000000000001,135.0,0.0,0.0,0.0,0.0
Capacity (MW),Kuwait,0.0,19509.5,70.0,10.0,0.0,0.0,0.0,0.0
Capacity (MW),Kyrgyzstan,813.0,0.0,0.0,0.0,2990.0,0.0,0.0,0.0
Capacity (MW),Laos,1878.0,0.0,0.0,0.0,8503.0,0.0,0.0,0.0
Capacity (MW),Latvia,0.0,1087.0,44.0,100.0,1536.0,0.0,0.0,0.0
Capacity (MW),Lebanon,0.0,2486.0,0.0,0.0,108.0,0.0,0.0,0.0
Capacity (MW),Lesotho,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Liberia,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0
Capacity (MW),Libya,0.0,13595.0,500.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Lithuania,0.0,1148.0,277.6,796.0,1001.0,0.0,70.0,0.0
Capacity (MW),Luxembourg,0.0,0.0,54.1,115.5,1294.0,0.0,0.0,0.0
Capacity (MW),Macao,0.0,407.2,0.0,198.0,0.0,0.0,0.0,0.0
Capacity (MW),Madagascar,120.0,171.0,40.0,0.0,91.0,0.0,0.0,0.0
Capacity (MW),Malawi,0.0,0.0,101.0,0.0,351.0,0.0,0.0,0.0
Capacity (MW),Malaysia,13280.0,16803.0,1661.2,0.0,6032.0,0.0,0.0,0.0
Capacity (MW),Maldives,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mali,0.0,254.0,100.0,0.0,340.0,0.0,0.0,0.0
