,Country,Status,Non-fossil,Fossil,Non-fossil share,Fossil share
3,Bahrain,Pre-construction,223.799,1200.0,0.15718440594494026,0.8428155940550598
1,Bahrain,Construction,88.825,1800.0,0.04702659060527047,0.9529734093947295
2,Bahrain,Operating,11.6,9281.9,0.0012481842147737665,0.9987518157852262
0,Bangladesh,Announced,2134.35,18050.0,0.10574281559723252,0.8942571844027676
3,Bangladesh,Pre-construction,1463.8,1600.0,0.47777270056792215,0.5222272994320778
1,Bangladesh,Construction,2448.3,4030.0,0.3779232205979964,0.6220767794020036
2,Bangladesh,Operating,1438.66,27884.2,0.04906274490278233,0.9509372550972177
0,Barbados,Announced,9.350000000000001,0.0,1.0,0.0
3,Barbados,Pre-construction,108.30000000000001,0.0,1.0,0.0
1,Barbados,Construction,50.0,0.0,1.0,0.0
2,Barbados,Operating,24.950000000000003,183.0,0.11998076460687668,0.8800192353931234
0,Belarus,Announced,0,0,0.0,0.0
3,Belarus,Pre-construction,0,0,0.0,0.0
1,Belarus,Construction,0,0,0.0,0.0
2,Belarus,Operating,2690.5325,9230.2,0.22570194407097044,0.7742980559290296
0,Belgium,Announced,394.395,0.0,1.0,0.0
3,Belgium,Pre-construction,3921.547,900.0,0.8133379183071324,0.18666208169286744
1,Belgium,Construction,96.217,870.0,0.0995811499901161,0.900418850009884
2,Belgium,Operating,10516.411,6069.0,0.6340759960666636,0.36592400393333635
0,Belize,Announced,56.1,0,1.0,0.0
3,Belize,Pre-construction,0,0,0.0,0.0
1,Belize,Construction,0,0,0.0,0.0
2,Belize,Operating,31.7,0,1.0,0.0
0,Benin,Announced,27.0,140.0,0.16167664670658682,0.8383233532934131
3,Benin,Pre-construction,46.75,0.0,1.0,0.0
1,Benin,Construction,43.5,0.0,1.0,0.0
2,Benin,Operating,24.65,127.4,0.16211772443275235,0.8378822755672476
0,Bermuda,Announced,69.35,0.0,1.0,0.0
3,Bermuda,Pre-construction,60.0,0.0,1.0,0.0
1,Bermuda,Construction,0,0,0.0,0.0
2,Bermuda,Operating,6.0,114.0,0.05,0.95
0,Bhutan,Announced,467.5,0,1.0,0.0
3,Bhutan,Pre-construction,9830.125,0,1.0,0.0
1,Bhutan,Construction,1312.2,0,1.0,0.0
2,Bhutan,Operating,3479.138,0,1.0,0.0
0,Bolivia,Announced,2149.9,140.0,0.9388619590375126,0.06113804096248744
3,Bolivia,Pre-construction,1373.6,0.0,1.0,0.0
1,Bolivia,Construction,714.33,0.0,1.0,0.0
2,Bolivia,Operating,1163.9125,2431.7000000000003,0.32370354146894303,0.676296458531057
0,Bosnia and Herzegovina,Announced,908.55,237.5,0.7927664587059902,0.20723354129400987
3,Bosnia and Herzegovina,Pre-construction,4187.52,1050.0,0.7995234385739816,0.2004765614260184
1,Bosnia and Herzegovina,Construction,483.75,0.0,1.0,0.0
2,Bosnia and Herzegovina,Operating,2907.2275,1990.0,0.5936476302152596,0.40635236978474043
0,Botswana,Announced,570.75,615.0,0.48134092346616064,0.5186590765338394
3,Botswana,Pre-construction,3217.575,600.0,0.842832164397556,0.15716783560244396
1,Botswana,Construction,0,0,0.0,0.0
2,Botswana,Operating,118.80000000000001,802.0,0.12901824500434406,0.870981754995656
0,Brazil,Announced,263470.4,31041.9,0.894598969211133,0.10540103078886687
3,Brazil,Pre-construction,137945.5135,10482.7,0.929375286862157,0.0706247131378429
1,Brazil,Construction,7785.929,3312.9,0.7015090510899844,0.29849094891001565
2,Brazil,Operating,188487.4785,28251.2,0.8696531685275547,0.13034683147244527
0,Brunei,Announced,0.0,500.0,0.0,1.0
3,Brunei,Pre-construction,0,0,0.0,0.0
1,Brunei,Construction,30.0,0.0,1.0,0.0
2,Brunei,Operating,5.2,432.0,0.011893870082342179,0.9881061299176579
0,Bulgaria,Announced,2913.995,240.0,0.9239060302885705,0.07609396971142948
3,Bulgaria,Pre-construction,3556.085,42.0,0.9883271240118007,0.011672875988199279
1,Bulgaria,Construction,366.52,0.0,1.0,0.0
2,Bulgaria,Operating,8715.8445,4876.0,0.6412554602136598,0.3587445397863403
0,Burkina Faso,Announced,321.0,0.0,1.0,0.0
3,Burkina Faso,Pre-construction,121.87,0.0,1.0,0.0
1,Burkina Faso,Construction,0,0,0.0,0.0
2,Burkina Faso,Operating,196.332,201.9,0.4930091002229856,0.5069908997770145
0,Burundi,Announced,6.525,0.0,1.0,0.0
3,Burundi,Pre-construction,0,0,0.0,0.0
1,Burundi,Construction,0,0,0.0,0.0
2,Burundi,Operating,51.0,30.0,0.6296296296296297,0.37037037037037035
0,Cabo Verde,Announced,24.586000000000002,0,1.0,0.0
3,Cabo Verde,Pre-construction,0,0,0.0,0.0
1,Cabo Verde,Construction,5.0,0,1.0,0.0
2,Cabo Verde,Operating,51.62650000000001,0,1.0,0.0
0,Cambodia,Announced,4745.5,0.0,1.0,0.0
3,Cambodia,Pre-construction,294.8,0.0,1.0,0.0
1,Cambodia,Construction,230.0,1165.0,0.16487455197132617,0.8351254480286738
2,Cambodia,Operating,1805.905,2255.5,0.44465031189945353,0.5553496881005465
0,Cameroon,Announced,2593.7,500.0,0.8383812263632543,0.16161877363674565
3,Cameroon,Pre-construction,2230.0,350.0,0.8643410852713178,0.13565891472868216
1,Cameroon,Construction,26.026,0.0,1.0,0.0
2,Cameroon,Operating,1576.973,364.0,0.8124651914271862,0.18753480857281374
0,Canada,Announced,5208.059,8991.0,0.36678902454028817,0.6332109754597117
3,Canada,Pre-construction,26773.42,7438.0,0.782587217952368,0.21741278204763206
1,Canada,Construction,1315.0395,470.0,0.7367005043865976,0.2632994956134024
2,Canada,Operating,119365.095,32893.9,0.7839608753492692,0.21603912465073083
0,Cayman Islands,Announced,0,0,0.0,0.0
3,Cayman Islands,Pre-construction,0,0,0.0,0.0
1,Cayman Islands,Construction,0,0,0.0,0.0
2,Cayman Islands,Operating,4.9,153.7,0.030895334174022702,0.9691046658259773
0,Central African Republic,Announced,13.05,0.0,1.0,0.0
3,Central African Republic,Pre-construction,210.0,0.0,1.0,0.0
1,Central African Republic,Construction,46.75,0.0,1.0,0.0
2,Central African Republic,Operating,43.255,50.0,0.46383571926438266,0.5361642807356174
0,Chad,Announced,404.0,90.0,0.8178137651821862,0.18218623481781376
3,Chad,Pre-construction,0,0,0.0,0.0
1,Chad,Construction,56.1,0.0,1.0,0.0
2,Chad,Operating,114.675,89.0,0.5630293359518841,0.43697066404811585
0,Chile,Announced,17855.552,0.0,1.0,0.0
3,Chile,Pre-construction,39325.638,199.8,0.9949450275541538,0.005054972445846141
1,Chile,Construction,3150.8605,577.4,0.8451288476221015,0.15487115237789847
2,Chile,Operating,26689.0475,10242.8,0.7226567124755944,0.27734328752440557
0,China,Announced,716372.388,227009.0,0.7593666751458107,0.24063332485418928
3,China,Pre-construction,767338.1985,189811.0,0.8016913138542423,0.19830868614575764
1,China,Construction,739267.3665,237219.6,0.7570683397339538,0.24293166026604618
2,China,Operating,1590619.231,1419199.84,0.528476693607873,0.47152330639212703
0,Colombia,Announced,11313.05,4011.0,0.7382545736929859,0.26174542630701414
3,Colombia,Pre-construction,24582.4025,0.0,1.0,0.0
1,Colombia,Construction,2259.2365,0.0,1.0,0.0
2,Colombia,Operating,15001.4655,5972.0,0.7152592641402061,0.2847407358597939
0,Cook Islands,Announced,0,0,0.0,0.0
3,Cook Islands,Pre-construction,0,0,0.0,0.0
1,Cook Islands,Construction,0,0,0.0,0.0
2,Cook Islands,Operating,1.0285000000000002,0,1.0,0.0
0,Costa Rica,Announced,243.85000000000002,0.0,1.0,0.0
