Country,Type,Age Category,Capacity (MW),Capacity %
Algeria,Hydropower,20-29 years,0.0,0.0
Algeria,Hydropower,30-39 years,0.0,0.0
Algeria,Hydropower,40-49 years,0.0,0.0
Algeria,Hydropower,50+ years,0.172,0.6544502306532788
American Samoa,Oil and gas,0-9 years,0.023,94.60837836542947
American Samoa,Oil and gas,10-19 years,0.0,0.0
American Samoa,Oil and gas,20-29 years,0.0,0.0
American Samoa,Oil and gas,30-39 years,0.0,0.0
American Samoa,Oil and gas,40-49 years,0.0,0.0
American Samoa,Oil and gas,50+ years,0.0,0.0
American Samoa,Utility-scale solar,0-9 years,0.001310743295019157,5.3916216345705275
American Samoa,Utility-scale solar,10-19 years,0.0,0.0
American Samoa,Utility-scale solar,20-29 years,0.0,0.0
American Samoa,Utility-scale solar,30-39 years,0.0,0.0
American Samoa,Utility-scale solar,40-49 years,0.0,0.0
American Samoa,Utility-scale solar,50+ years,0.0,0.0
Andorra,Utility-scale solar,0-9 years,0.0033,6.832298136645963
Andorra,Utility-scale solar,10-19 years,0.0,0.0
Andorra,Utility-scale solar,20-29 years,0.0,0.0
Andorra,Utility-scale solar,30-39 years,0.0,0.0
Andorra,Utility-scale solar,40-49 years,0.0,0.0
Andorra,Utility-scale solar,50+ years,0.0,0.0
Andorra,Hydropower,0-9 years,0.0,0.0
Andorra,Hydropower,10-19 years,0.0,0.0
Andorra,Hydropower,20-29 years,0.0,0.0
Andorra,Hydropower,30-39 years,0.0,0.0
Andorra,Hydropower,40-49 years,0.0,0.0
Andorra,Hydropower,50+ years,0.045,93.16770186335404
Angola,Oil and gas,0-9 years,0.804,16.00677519277944
Angola,Oil and gas,10-19 years,0.0,0.0
Angola,Oil and gas,20-29 years,0.0,0.0
Angola,Oil and gas,30-39 years,0.0,0.0
Angola,Oil and gas,40-49 years,0.0,0.0
Angola,Oil and gas,50+ years,0.0,0.0
Angola,Utility-scale solar,0-9 years,0.48887306666666663,9.732936910370658
Angola,Utility-scale solar,10-19 years,0.0,0.0
Angola,Utility-scale solar,20-29 years,0.0,0.0
Angola,Utility-scale solar,30-39 years,0.0,0.0
Angola,Utility-scale solar,40-49 years,0.0,0.0
Angola,Utility-scale solar,50+ years,0.0,0.0
Angola,Wind,0-9 years,0.0,0.0
Angola,Wind,10-19 years,0.05,0.9954462184564328
Angola,Wind,20-29 years,0.0,0.0
Angola,Wind,30-39 years,0.0,0.0
Angola,Wind,40-49 years,0.0,0.0
Angola,Wind,50+ years,0.0,0.0
Angola,Hydropower,0-9 years,2.77,55.147720502486386
Angola,Hydropower,10-19 years,0.11,2.1899816806041525
Angola,Hydropower,20-29 years,0.52,10.352640671946903
Angola,Hydropower,30-39 years,0.0,0.0
Angola,Hydropower,40-49 years,0.0,0.0
Angola,Hydropower,50+ years,0.18,3.5836063864431584
Angola,Bioenergy,0-9 years,0.0,0.0
Angola,Bioenergy,10-19 years,0.1,1.9908924369128655
Angola,Bioenergy,20-29 years,0.0,0.0
Angola,Bioenergy,30-39 years,0.0,0.0
Angola,Bioenergy,40-49 years,0.0,0.0
Angola,Bioenergy,50+ years,0.0,0.0
Anguilla,Utility-scale solar,0-9 years,0.0012,100.0
Anguilla,Utility-scale solar,10-19 years,0.0,0.0
Anguilla,Utility-scale solar,20-29 years,0.0,0.0
Anguilla,Utility-scale solar,30-39 years,0.0,0.0
Anguilla,Utility-scale solar,40-49 years,0.0,0.0
Anguilla,Utility-scale solar,50+ years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,0-9 years,0.010299999999999998,100.0
Antigua and Barbuda,Utility-scale solar,10-19 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,20-29 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,30-39 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,40-49 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,50+ years,0.0,0.0
Argentina,Coal,0-9 years,0.0,0.0
Argentina,Coal,10-19 years,0.0,0.0
Argentina,Coal,20-29 years,0.0,0.0
Argentina,Coal,30-39 years,0.0,0.0
Argentina,Coal,40-49 years,0.375,0.8320481124272284
Argentina,Coal,50+ years,0.15,0.3328192449708914
Argentina,Oil and gas,0-9 years,7.5972,16.856629119285707
Argentina,Oil and gas,10-19 years,4.438,9.84701206120544
Argentina,Oil and gas,20-29 years,7.233,16.048543992496384
Argentina,Oil and gas,30-39 years,1.147,2.544957826544083
Argentina,Oil and gas,40-49 years,0.436,0.9673946053820578
Argentina,Oil and gas,50+ years,2.151,4.772627972882583
Argentina,Utility-scale solar,0-9 years,2.6962441304347826,5.982412904990013
Argentina,Utility-scale solar,10-19 years,0.029765,0.06604243217705721
Argentina,Utility-scale solar,20-29 years,0.0,0.0
Argentina,Utility-scale solar,30-39 years,0.0,0.0
Argentina,Utility-scale solar,40-49 years,0.0,0.0
Argentina,Utility-scale solar,50+ years,0.0,0.0
Argentina,Wind,0-9 years,4.466,9.909138320266674
Argentina,Wind,10-19 years,0.18930000000000002,0.42001788715326493
Argentina,Wind,20-29 years,0.018,0.039938309396506964
Argentina,Wind,30-39 years,0.0,0.0
Argentina,Wind,40-49 years,0.0,0.0
Argentina,Wind,50+ years,0.0,0.0
Argentina,Hydropower,0-9 years,0.0,0.0
Argentina,Hydropower,10-19 years,0.125,0.2773493708090762
Argentina,Hydropower,20-29 years,0.516,1.1448982026998664
Argentina,Hydropower,30-39 years,5.394,11.968180049153254
Argentina,Hydropower,40-49 years,3.799,8.429202077629443
Argentina,Hydropower,50+ years,2.316,5.138729142350564
Argentina,Nuclear,0-9 years,0.745,1.653002250022094
Argentina,Nuclear,10-19 years,0.0,0.0
Argentina,Nuclear,20-29 years,0.0,0.0
Argentina,Nuclear,30-39 years,0.0,0.0
Argentina,Nuclear,40-49 years,0.656,1.4555294980060318
Argentina,Nuclear,50+ years,0.362,0.8032037778630846
Argentina,Bioenergy,0-9 years,0.108,0.23962985637904183
Argentina,Bioenergy,10-19 years,0.122,0.27069298590965835
Argentina,Bioenergy,20-29 years,0.0,0.0
Argentina,Bioenergy,30-39 years,0.0,0.0
Argentina,Bioenergy,40-49 years,0.0,0.0
Argentina,Bioenergy,50+ years,0.0,0.0
Armenia,Oil and gas,0-9 years,0.254,10.337810337810339
Armenia,Oil and gas,10-19 years,0.673,27.39112739112739
Armenia,Oil and gas,20-29 years,0.0,0.0
Armenia,Oil and gas,30-39 years,0.0,0.0
Armenia,Oil and gas,40-49 years,0.0,0.0
Armenia,Oil and gas,50+ years,0.2,8.14000814000814
Armenia,Hydropower,0-9 years,0.0,0.0
Armenia,Hydropower,10-19 years,0.0,0.0
Armenia,Hydropower,20-29 years,0.0,0.0
Armenia,Hydropower,30-39 years,0.076,3.093203093203093
Armenia,Hydropower,40-49 years,0.171,6.95970695970696
Armenia,Hydropower,50+ years,0.635,25.844525844525844
Armenia,Nuclear,0-9 years,0.0,0.0
Armenia,Nuclear,10-19 years,0.0,0.0
Armenia,Nuclear,20-29 years,0.0,0.0
Armenia,Nuclear,30-39 years,0.0,0.0
Armenia,Nuclear,40-49 years,0.448,18.233618233618234
Armenia,Nuclear,50+ years,0.0,0.0
Aruba,Oil and gas,0-9 years,0.102,43.81443298969072
Aruba,Oil and gas,10-19 years,0.092,39.51890034364261
Aruba,Oil and gas,20-29 years,0.0,0.0
Aruba,Oil and gas,30-39 years,0.0,0.0
Aruba,Oil and gas,40-49 years,0.0,0.0
Aruba,Oil and gas,50+ years,0.0,0.0
Aruba,Utility-scale solar,0-9 years,0.0088,3.780068728522337
Aruba,Utility-scale solar,10-19 years,0.0,0.0
Aruba,Utility-scale solar,20-29 years,0.0,0.0
Aruba,Utility-scale solar,30-39 years,0.0,0.0
Aruba,Utility-scale solar,40-49 years,0.0,0.0
Aruba,Utility-scale solar,50+ years,0.0,0.0
Aruba,Wind,0-9 years,0.0,0.0
Aruba,Wind,10-19 years,0.03,12.886597938144329
Aruba,Wind,20-29 years,0.0,0.0
Aruba,Wind,30-39 years,0.0,0.0
Aruba,Wind,40-49 years,0.0,0.0
Aruba,Wind,50+ years,0.0,0.0
Australia,Coal,0-9 years,0.0,0.0
Australia,Coal,10-19 years,1.33,1.7484912722367876
Australia,Coal,20-29 years,4.133,5.433469494853115
Australia,Coal,30-39 years,6.178,8.121939157803663
Australia,Coal,40-49 years,10.268,13.498878483704763
Australia,Coal,50+ years,0.72,0.9465516661732984
Australia,Oil and gas,0-9 years,2.0004,2.629836045851481
Australia,Oil and gas,10-19 years,9.537799999999999,12.538917335594007
Australia,Oil and gas,20-29 years,5.0681,6.662803471295686
Australia,Oil and gas,30-39 years,0.34,0.4469827312485021
Australia,Oil and gas,40-49 years,1.75,2.3006464108378784
Australia,Oil and gas,50+ years,0.221,0.29053877531152633
Australia,Utility-scale solar,0-9 years,11.887037464285715,15.627354330116756
Australia,Utility-scale solar,10-19 years,0.08644096428571428,0.11364005384759644
Australia,Utility-scale solar,20-29 years,0.0,0.0
Australia,Utility-scale solar,30-39 years,0.0,0.0
Australia,Utility-scale solar,40-49 years,0.0,0.0
Australia,Utility-scale solar,50+ years,0.0,0.0
Australia,Wind,0-9 years,10.187700000000001,13.3933116798246
Australia,Wind,10-19 years,3.628,4.769568673439899
Australia,Wind,20-29 years,0.4671,0.6140753934299273
Australia,Wind,30-39 years,0.0,0.0
Australia,Wind,40-49 years,0.0,0.0
Australia,Wind,50+ years,0.0,0.0
Australia,Hydropower,0-9 years,0.0,0.0
Australia,Hydropower,10-19 years,0.14,0.18405171286703026
Australia,Hydropower,20-29 years,0.0,0.0
Australia,Hydropower,30-39 years,0.481,0.6323490992074396
Australia,Hydropower,40-49 years,1.583,2.081099010489349
Australia,Hydropower,50+ years,5.743,7.550064192823963
Australia,Bioenergy,0-9 years,0.0,0.0
Australia,Bioenergy,10-19 years,0.176,0.23137929617569516
Australia,Bioenergy,20-29 years,0.128,0.16827585176414195
Australia,Bioenergy,30-39 years,0.012,0.015775861102888308
Australia,Bioenergy,40-49 years,0.0,0.0
Australia,Bioenergy,50+ years,0.0,0.0
Austria,Oil and gas,0-9 years,0.246,1.2077600646181093
Austria,Oil and gas,10-19 years,2.597,12.75021499111069
Austria,Oil and gas,20-29 years,1.379,6.770329793123466
Austria,Oil and gas,30-39 years,0.194,0.9524611891703788
Austria,Oil and gas,40-49 years,0.0,0.0
Austria,Oil and gas,50+ years,0.31,1.521974065169162
Austria,Utility-scale solar,0-9 years,0.826784,4.059173566118775
Austria,Utility-scale solar,10-19 years,0.0,0.0
Austria,Utility-scale solar,20-29 years,0.0,0.0
Austria,Utility-scale solar,30-39 years,0.0,0.0
Austria,Utility-scale solar,40-49 years,0.0,0.0
Austria,Utility-scale solar,50+ years,0.0,0.0
Austria,Wind,0-9 years,1.154,5.665671197436171
Austria,Wind,10-19 years,1.438,7.059995824881468
Austria,Wind,20-29 years,0.498,2.4449776917878796
Austria,Wind,30-39 years,0.0,0.0
Austria,Wind,40-49 years,0.0,0.0
Austria,Wind,50+ years,0.0,0.0
Austria,Hydropower,0-9 years,0.899,4.41372478899057
Austria,Hydropower,10-19 years,1.145,5.621484853608679
Austria,Hydropower,20-29 years,0.172,0.8444501264809544
Austria,Hydropower,30-39 years,0.703,3.451444412302971
Austria,Hydropower,40-49 years,3.266,16.034733215620914
Austria,Hydropower,50+ years,5.335,26.192682702185415
Austria,Bioenergy,0-9 years,0.111,0.5449649072057322
Austria,Bioenergy,10-19 years,0.0945,0.4639566101886639
Austria,Bioenergy,20-29 years,0.0,0.0
Austria,Bioenergy,30-39 years,0.0,0.0
Austria,Bioenergy,40-49 years,0.0,0.0
Austria,Bioenergy,50+ years,0.0,0.0
Azerbaijan,Oil and gas,0-9 years,2.0643000000000002,23.68565986644331
Azerbaijan,Oil and gas,10-19 years,2.1696,24.893866030245313
Azerbaijan,Oil and gas,20-29 years,0.507,5.817288936824472
Azerbaijan,Oil and gas,30-39 years,2.4,27.537462422837738
Azerbaijan,Oil and gas,40-49 years,0.0,0.0
Azerbaijan,Oil and gas,50+ years,0.0,0.0
Azerbaijan,Utility-scale solar,0-9 years,0.2841,3.259747114303417
