,Country/Area,coal,oil/gas,solar,wind,hydropower,nuclear,bioenergy,geothermal
Capacity (MW),Gabon,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Germany,0.0,1666.0,949.0,1669.0,0.0,0.0,0.0,0.0
Capacity (MW),Ghana,0.0,0.0,455.0,0.0,0.0,0.0,60.0,0.0
Capacity (MW),Greece,0.0,1717.0,2923.7,671.5,0.0,0.0,0.0,0.0
Capacity (MW),Guadeloupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Guatemala,0.0,0.0,0.0,67.5,0.0,0.0,0.0,0.0
Capacity (MW),Guinea,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0
Capacity (MW),Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Guyana,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Haiti,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Honduras,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0
Capacity (MW),Hong Kong,0.0,770.0,0.0,0.0,0.0,0.0,180.0,0.0
Capacity (MW),Hungary,0.0,0.0,60.0,0.0,0.0,0.0,100.0,0.0
Capacity (MW),Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
Capacity (MW),India,29480.0,370.0,4394.0,2995.0,14922.0,5900.0,0.0,0.0
Capacity (MW),Indonesia,9815.0,2774.0,0.0,0.0,3607.0,0.0,0.0,654.0
Capacity (MW),Iran,650.0,12782.0,1600.0,100.0,910.0,6357.0,0.0,0.0
Capacity (MW),Iraq,0.0,15808.0,1875.0,0.0,250.0,0.0,0.0,0.0
Capacity (MW),Ireland,0.0,779.0,673.2,636.7,0.0,0.0,0.0,0.0
Capacity (MW),Israel,0.0,2191.5,280.0,207.0,500.0,0.0,0.0,0.0
Capacity (MW),Italy,0.0,968.0,742.1,175.2,0.0,0.0,0.0,0.0
Capacity (MW),Jamaica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Japan,0.0,2805.2,966.6,2104.3,200.0,2756.0,1238.0,0.0
Capacity (MW),Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
