Country,Type,Age Category,Capacity (GW),Capacity %
BRICS,Geothermal,50+ years,0.012,0.0002762525584802936
EU27,Coal,0-9 years,6.874,0.8020127812406987
EU27,Coal,10-19 years,14.6,1.7034312781661627
EU27,Coal,20-29 years,8.983600000000001,1.0481469335981877
EU27,Coal,30-39 years,9.494,1.107697024308873
EU27,Coal,40-49 years,20.2602,2.3638259165686364
EU27,Coal,50+ years,18.4161,2.1486685453312235
EU27,Oil and gas,0-9 years,22.577650000000002,2.6342106299649495
EU27,Oil and gas,10-19 years,68.40816000000001,7.981410919575025
EU27,Oil and gas,20-29 years,71.5565,8.348738373705276
EU27,Oil and gas,30-39 years,14.4803,1.6894654751527045
EU27,Oil and gas,40-49 years,5.756399999999999,0.6716186170983355
EU27,Oil and gas,50+ years,13.7201,1.600770375312847
EU27,Utility-scale solar,0-9 years,97.71653953660626,11.400918482247642
EU27,Utility-scale solar,10-19 years,17.49562305675863,2.041273393553955
EU27,Utility-scale solar,20-29 years,0.375492,0.04380991900692937
EU27,Utility-scale solar,30-39 years,0.0,0.0
EU27,Utility-scale solar,40-49 years,0.005,0.0005833668760843023
EU27,Utility-scale solar,50+ years,0.0,0.0
EU27,Wind,0-9 years,86.5808,10.101674164975954
EU27,Wind,10-19 years,74.486,8.690533026403068
EU27,Wind,20-29 years,25.856099999999998,3.0167184569446657
EU27,Wind,30-39 years,0.3481,0.040614001912989126
EU27,Wind,40-49 years,0.0,0.0
EU27,Wind,50+ years,0.023,0.0026834876299877907
EU27,Hydropower,0-9 years,3.289,0.38373873108825407
EU27,Hydropower,10-19 years,4.587,0.5351807721197389
EU27,Hydropower,20-29 years,3.213,0.3748715545717727
EU27,Hydropower,30-39 years,11.851,1.3826961696950133
EU27,Hydropower,40-49 years,16.731,1.9520622407532926
EU27,Hydropower,50+ years,80.5135,9.393781795522695
EU27,Nuclear,0-9 years,3.841,0.44814243420796107
EU27,Nuclear,10-19 years,0.705,0.08225472952788662
EU27,Nuclear,20-29 years,9.406,1.0974297672897895
EU27,Nuclear,30-39 years,27.006,3.1508811711065334
EU27,Nuclear,40-49 years,59.005,6.884312504670851
EU27,Nuclear,50+ years,2.432,0.28374964852740464
EU27,Bioenergy,0-9 years,3.028366,0.35332968261198283
EU27,Bioenergy,10-19 years,4.775829,0.5572120888885634
EU27,Bioenergy,20-29 years,3.952705,0.46117543358656043
EU27,Bioenergy,30-39 years,1.99939,0.23327557967483867
EU27,Bioenergy,40-49 years,1.7972000000000001,0.20968538993974165
EU27,Bioenergy,50+ years,1.6750999999999998,0.19543957082576294
EU27,Geothermal,0-9 years,0.0517,0.006032013498711686
EU27,Geothermal,10-19 years,0.111,0.012950744649071512
EU27,Geothermal,20-29 years,0.398,0.04643600333631046
EU27,Geothermal,30-39 years,0.32,0.03733548006939535
EU27,Geothermal,40-49 years,0.038,0.0044335882582406975
EU27,Geothermal,50+ years,0.0,0.0
G7,Coal,0-9 years,18.17,0.6926213449315786
G7,Coal,10-19 years,40.214,1.5329155071589708
G7,Coal,20-29 years,31.6939,1.2081382302766623
G7,Coal,30-39 years,33.770300000000006,1.2872884207343362
G7,Coal,40-49 years,101.3394,3.862951652314761
G7,Coal,50+ years,93.979,3.5823809232429733
G7,Oil and gas,0-9 years,138.11415,5.264766556251061
G7,Oil and gas,10-19 years,214.54886,8.178377543573854
G7,Oil and gas,20-29 years,361.7566,13.789782214082283
G7,Oil and gas,30-39 years,78.636,2.997521853607023
G7,Oil and gas,40-49 years,35.6445,1.3587309592412575
G7,Oil and gas,50+ years,94.0192,3.583913305084814
G7,Utility-scale solar,0-9 years,252.09260548624485,9.609505748992225
G7,Utility-scale solar,10-19 years,59.98490417389336,2.2865616403144675
G7,Utility-scale solar,20-29 years,0.38429199999999997,0.014648808028973372
G7,Utility-scale solar,30-39 years,0.0,0.0
