Country,Type,Age Category,Capacity (GW),Capacity %
BRICS,Geothermal,50+ years,0.012,0.00027539306809532557
EU27,Coal,0-9 years,6.874,0.8017672259086882
EU27,Coal,10-19 years,14.6,1.7029097320725703
EU27,Coal,20-29 years,8.983600000000001,1.0478260184278865
EU27,Coal,30-39 years,9.494,1.1073578764586973
EU27,Coal,40-49 years,20.2602,2.3631021749134717
EU27,Coal,50+ years,18.4161,2.14801067923436
EU27,Oil and gas,0-9 years,24.1095,2.812075492150934
EU27,Oil and gas,10-19 years,68.5588,7.996537516384722
EU27,Oil and gas,20-29 years,71.0395,8.28588054188831
EU27,Oil and gas,30-39 years,14.2623,1.6635211966944259
EU27,Oil and gas,40-49 years,5.6833,0.6628867726224684
EU27,Oil and gas,50+ years,14.2466,1.6616899855441836
EU27,Utility-scale solar,0-9 years,97.71653953660626,11.397427819269923
EU27,Utility-scale solar,10-19 years,17.49562305675863,2.0406484090429813
EU27,Utility-scale solar,20-29 years,0.375492,0.04379650555584887
EU27,Utility-scale solar,30-39 years,0.0,0.0
EU27,Utility-scale solar,40-49 years,0.005,0.0005831882644084144
EU27,Utility-scale solar,50+ years,0.0,0.0
EU27,Wind,0-9 years,85.8696,10.015628597888957
EU27,Wind,10-19 years,73.8271,8.611019663061292
EU27,Wind,20-29 years,25.4085,2.96358780324424
EU27,Wind,30-39 years,0.343,0.04000671493841723
EU27,Wind,40-49 years,0.0,0.0
EU27,Wind,50+ years,0.023,0.0026826660162787065
EU27,Hydropower,0-9 years,3.289,0.38362124032785505
EU27,Hydropower,10-19 years,4.587,0.5350169137682794
EU27,Hydropower,20-29 years,3.213,0.37475677870884716
EU27,Hydropower,30-39 years,11.851,1.382272824300824
EU27,Hydropower,40-49 years,16.731,1.9514645703634366
EU27,Hydropower,50+ years,80.5135,9.390905665289376
EU27,Nuclear,0-9 years,3.841,0.448005224718544
EU27,Nuclear,10-19 years,0.705,0.08222954528158645
EU27,Nuclear,20-29 years,9.406,1.0970937630051092
EU27,Nuclear,30-39 years,27.006,3.149916453722728
EU27,Nuclear,40-49 years,59.005,6.8822047082837
EU27,Nuclear,50+ years,2.432,0.2836627718082528
EU27,Bioenergy,0-9 years,3.6620999999999997,0.4271387486180109
EU27,Bioenergy,10-19 years,5.032100000000001,0.5869323330659165
EU27,Bioenergy,20-29 years,4.1339,0.48216839324758887
EU27,Bioenergy,30-39 years,1.9493000000000003,0.22736177676226452
EU27,Bioenergy,40-49 years,1.8042,0.21043765332913228
EU27,Bioenergy,50+ years,1.6451,0.19188060275565652
EU27,Geothermal,0-9 years,0.0517,0.006030166653983006
EU27,Geothermal,10-19 years,0.111,0.0129467794698668
EU27,Geothermal,20-29 years,0.398,0.04642178584690979
EU27,Geothermal,30-39 years,0.32,0.037324048922138524
EU27,Geothermal,40-49 years,0.038,0.00443223080950395
EU27,Geothermal,50+ years,0.0,0.0
G7,Coal,0-9 years,18.17,0.690700954143948
G7,Coal,10-19 years,40.214,1.528665281780117
G7,Coal,20-29 years,31.6939,1.2047884959021946
G7,Coal,30-39 years,33.770300000000006,1.283719231245315
G7,Coal,40-49 years,101.3394,3.8522410716772266
G7,Coal,50+ years,93.979,3.5724482646942266
G7,Oil and gas,0-9 years,149.1088,5.6681117463543815
G7,Oil and gas,10-19 years,214.0788,8.137833319867442
G7,Oil and gas,20-29 years,360.6175,13.708247183874803
G7,Oil and gas,30-39 years,77.89439999999999,2.961020165243277
G7,Oil and gas,40-49 years,35.5121,1.3499307294251677
G7,Oil and gas,50+ years,94.641,3.597613043540858
G7,Utility-scale solar,0-9 years,252.09260548624485,9.58286203313061
G7,Utility-scale solar,10-19 years,59.98490417389336,2.28022182427856
G7,Utility-scale solar,20-29 years,0.38429199999999997,0.014608192133730658
G7,Utility-scale solar,30-39 years,0.0,0.0
G7,Utility-scale solar,40-49 years,0.005,0.00019006630548815302
G7,Utility-scale solar,50+ years,0.0,0.0
G7,Wind,0-9 years,200.3932,7.61759903378971
G7,Wind,10-19 years,159.1594,6.050167828342228
G7,Wind,20-29 years,34.6082,1.3155705427190194
G7,Wind,30-39 years,0.6996,0.026594077463902372
G7,Wind,40-49 years,0.1846,0.007017247998622609
G7,Wind,50+ years,0.023,0.0008743050052455038
G7,Hydropower,0-9 years,6.898,0.2622154750514559
G7,Hydropower,10-19 years,12.367,0.4701099999943977
G7,Hydropower,20-29 years,8.275,0.31455973558289324
G7,Hydropower,30-39 years,30.651,1.1651444659034755
G7,Hydropower,40-49 years,55.517,2.110382216357158
G7,Hydropower,50+ years,227.2495,8.638494577806005
G7,Nuclear,0-9 years,9.342,0.35511988517406506
G7,Nuclear,10-19 years,1.923,0.07309950109074366
G7,Nuclear,20-29 years,10.586,0.40240838197951756
G7,Nuclear,30-39 years,65.934,2.506366357211176
G7,Nuclear,40-49 years,117.117,4.451999099971203
G7,Nuclear,50+ years,35.74,1.3585939516293177
G7,Bioenergy,0-9 years,9.4948,0.36092831146978305
G7,Bioenergy,10-19 years,8.9785,0.3413020647650764
G7,Bioenergy,20-29 years,5.378,0.20443531818305738
G7,Bioenergy,30-39 years,6.3721000000000005,0.24222430104021198
G7,Bioenergy,40-49 years,4.921,0.1870632578614402
G7,Bioenergy,50+ years,5.6799,0.21591152170843206
G7,Geothermal,0-9 years,0.49360000000000004,0.018763345677790467
G7,Geothermal,10-19 years,0.694,0.02638120320175564
G7,Geothermal,20-29 years,0.5812999999999999,0.022097108676052666
G7,Geothermal,30-39 years,1.4122999999999999,0.0536861286481837
G7,Geothermal,40-49 years,1.635,0.06215168189462603
G7,Geothermal,50+ years,0.3782,0.014376615347123893
G20,Coal,0-9 years,549.3068000000001,7.287938282633129
G20,Coal,10-19 years,805.8036,10.691014392546373
G20,Coal,20-29 years,303.2658,4.023584695535103
G20,Coal,30-39 years,141.2276,1.8737398346505059
G20,Coal,40-49 years,158.756,2.1062982107589145
G20,Coal,50+ years,118.9001,1.5775093091855172
G20,Oil and gas,0-9 years,422.3476,5.603504712882169
G20,Oil and gas,10-19 years,465.1752,6.171720700001387
G20,Oil and gas,20-29 years,473.7605,6.2856263289466145
G20,Oil and gas,30-39 years,132.04109999999997,1.7518577734173126
G20,Oil and gas,40-49 years,87.292,1.1581482489705408
G20,Oil and gas,50+ years,131.74220000000003,1.7478921120552489
G20,Utility-scale solar,0-9 years,913.4106584883067,12.118693061440466
G20,Utility-scale solar,10-19 years,129.05494257509474,1.7122388737151133
G20,Utility-scale solar,20-29 years,0.38429199999999997,0.005098601325360709
G20,Utility-scale solar,30-39 years,0.0,0.0
G20,Utility-scale solar,40-49 years,0.005,6.633759387862237e-05
G20,Utility-scale solar,50+ years,0.0,0.0
G20,Wind,0-9 years,647.9205999999999,8.596298725678666
G20,Wind,10-19 years,339.52410000000003,4.504642371560955
G20,Wind,20-29 years,37.237199999999994,0.4940452501554073
G20,Wind,30-39 years,0.9276,0.012306950416362024
G20,Wind,40-49 years,0.1846,0.0024491839659987378
G20,Wind,50+ years,0.023,0.0003051529318416629
G20,Hydropower,0-9 years,149.452,1.982857216069574
G20,Hydropower,10-19 years,250.615,3.3250392179781896
G20,Hydropower,20-29 years,86.123,1.1426385195217188
G20,Hydropower,30-39 years,86.765,1.151156266575734
G20,Hydropower,40-49 years,129.452,1.7175068405550848
G20,Hydropower,50+ years,328.5505,4.359049927523664
G20,Nuclear,0-9 years,54.71,0.7258659522198859
G20,Nuclear,10-19 years,40.751,0.5406646576295481
G20,Nuclear,20-29 years,28.868,0.3830067320176141
G20,Nuclear,30-39 years,80.893,1.0732493963246799
G20,Nuclear,40-49 years,135.051,1.791791678180366
G20,Nuclear,50+ years,37.559,0.49831473769743556
G20,Bioenergy,0-9 years,45.4003,0.6023493326735239
G20,Bioenergy,10-19 years,28.224700000000002,0.3744717371891906
G20,Bioenergy,20-29 years,10.200899999999999,0.13534063227928778
G20,Bioenergy,30-39 years,7.6174,0.1010639975222036
G20,Bioenergy,40-49 years,5.635200000000001,0.07476512180496257
G20,Bioenergy,50+ years,6.3839,0.08469851311234747
G20,Geothermal,0-9 years,2.8562600000000002,0.037895483178350786
G20,Geothermal,10-19 years,2.66045,0.03529757032687617
G20,Geothermal,20-29 years,1.35775,0.018013973617739903
G20,Geothermal,30-39 years,1.9073,0.02530513856093929
G20,Geothermal,40-49 years,1.915,0.025407298455512366
G20,Geothermal,50+ years,0.3902,0.00517698582628769
OECD,Coal,0-9 years,34.916,1.1060355682247767
OECD,Coal,10-19 years,66.49419999999999,2.106339508553441
OECD,Coal,20-29 years,49.0089,1.552456941218102
OECD,Coal,30-39 years,50.2473,1.5916857889580944
OECD,Coal,40-49 years,117.6484,3.726753206115701
OECD,Coal,50+ years,93.365,2.957526945449257
OECD,Oil and gas,0-9 years,191.7416,6.073806550244239
OECD,Oil and gas,10-19 years,272.1277,8.620200346523129
OECD,Oil and gas,20-29 years,408.44319999999993,12.93827204718599
OECD,Oil and gas,30-39 years,90.6541,2.871653654639871
OECD,Oil and gas,40-49 years,42.3461,1.3413991515523889
OECD,Oil and gas,50+ years,95.03379999999999,3.0103895916931998
OECD,Utility-scale solar,0-9 years,310.22062877456705,9.826871618218746
OECD,Utility-scale solar,10-19 years,61.767540596585725,1.9566129242064283
OECD,Utility-scale solar,20-29 years,0.38429199999999997,0.012173233491357424
