Country,Type,Age Category,Capacity (MW),Capacity %
Algeria,Hydropower,20-29 years,0.0,0.0
Algeria,Hydropower,30-39 years,0.0,0.0
Algeria,Hydropower,40-49 years,0.0,0.0
Algeria,Hydropower,50+ years,0.172,0.6542211102529507
American Samoa,Oil and gas,0-9 years,0.023,94.60889469218255
American Samoa,Oil and gas,10-19 years,0.0,0.0
American Samoa,Oil and gas,20-29 years,0.0,0.0
American Samoa,Oil and gas,30-39 years,0.0,0.0
American Samoa,Oil and gas,40-49 years,0.0,0.0
American Samoa,Oil and gas,50+ years,0.0,0.0
American Samoa,Utility-scale solar,0-9 years,0.0013106106194690267,5.391105307817447
American Samoa,Utility-scale solar,10-19 years,0.0,0.0
American Samoa,Utility-scale solar,20-29 years,0.0,0.0
American Samoa,Utility-scale solar,30-39 years,0.0,0.0
American Samoa,Utility-scale solar,40-49 years,0.0,0.0
American Samoa,Utility-scale solar,50+ years,0.0,0.0
Andorra,Hydropower,0-9 years,0.0,0.0
Andorra,Hydropower,10-19 years,0.0,0.0
Andorra,Hydropower,20-29 years,0.0,0.0
Andorra,Hydropower,30-39 years,0.0,0.0
Andorra,Hydropower,40-49 years,0.0,0.0
Andorra,Hydropower,50+ years,0.045,100.0
Angola,Oil and gas,0-9 years,0.804,16.226181670671075
Angola,Oil and gas,10-19 years,0.0,0.0
Angola,Oil and gas,20-29 years,0.0,0.0
Angola,Oil and gas,30-39 years,0.0,0.0
Angola,Oil and gas,40-49 years,0.0,0.0
Angola,Oil and gas,50+ years,0.0,0.0
Angola,Utility-scale solar,0-9 years,0.42095499999999997,8.495637195494208
Angola,Utility-scale solar,10-19 years,0.0,0.0
Angola,Utility-scale solar,20-29 years,0.0,0.0
Angola,Utility-scale solar,30-39 years,0.0,0.0
Angola,Utility-scale solar,40-49 years,0.0,0.0
Angola,Utility-scale solar,50+ years,0.0,0.0
Angola,Wind,0-9 years,0.0,0.0
Angola,Wind,10-19 years,0.05,1.0090908999173556
Angola,Wind,20-29 years,0.0,0.0
Angola,Wind,30-39 years,0.0,0.0
Angola,Wind,40-49 years,0.0,0.0
Angola,Wind,50+ years,0.0,0.0
Angola,Hydropower,0-9 years,2.77,55.9036358554215
Angola,Hydropower,10-19 years,0.11,2.219999979818182
Angola,Hydropower,20-29 years,0.52,10.494545359140497
Angola,Hydropower,30-39 years,0.0,0.0
Angola,Hydropower,40-49 years,0.0,0.0
Angola,Hydropower,50+ years,0.18,3.6327272397024797
Angola,Bioenergy,0-9 years,0.0,0.0
Angola,Bioenergy,10-19 years,0.1,2.018181799834711
Angola,Bioenergy,20-29 years,0.0,0.0
Angola,Bioenergy,30-39 years,0.0,0.0
Angola,Bioenergy,40-49 years,0.0,0.0
Angola,Bioenergy,50+ years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,0-9 years,0.0075,100.0
Antigua and Barbuda,Utility-scale solar,10-19 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,20-29 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,30-39 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,40-49 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,50+ years,0.0,0.0
Argentina,Coal,0-9 years,0.0,0.0
Argentina,Coal,10-19 years,0.0,0.0
Argentina,Coal,20-29 years,0.0,0.0
Argentina,Coal,30-39 years,0.0,0.0
Argentina,Coal,40-49 years,0.375,0.8587022014582687
Argentina,Coal,50+ years,0.15,0.3434808805833075
Argentina,Oil and gas,0-9 years,7.5972,17.396619639783356
Argentina,Oil and gas,10-19 years,4.438,10.162454320191456
Argentina,Oil and gas,20-29 years,7.233,16.562648061727085
Argentina,Oil and gas,30-39 years,1.147,2.626483800193691
Argentina,Oil and gas,40-49 years,0.436,0.9983844262288137
Argentina,Oil and gas,50+ years,2.151,4.925515827564629
Argentina,Utility-scale solar,0-9 years,1.612423,3.6922431460851888
Argentina,Utility-scale solar,10-19 years,0.02483,0.056857535099223505
Argentina,Utility-scale solar,20-29 years,0.0,0.0
Argentina,Utility-scale solar,30-39 years,0.0,0.0
Argentina,Utility-scale solar,40-49 years,0.0,0.0
Argentina,Utility-scale solar,50+ years,0.0,0.0
Argentina,Wind,0-9 years,4.1558,9.516252290187396
Argentina,Wind,10-19 years,0.18930000000000002,0.43347287129613404
Argentina,Wind,20-29 years,0.018,0.04121770566999689
Argentina,Wind,30-39 years,0.0,0.0
Argentina,Wind,40-49 years,0.0,0.0
Argentina,Wind,50+ years,0.0,0.0
Argentina,Hydropower,0-9 years,0.0,0.0
Argentina,Hydropower,10-19 years,0.125,0.28623406715275623
Argentina,Hydropower,20-29 years,0.516,1.1815742292065776
Argentina,Hydropower,30-39 years,5.394,12.351572465775737
Argentina,Hydropower,40-49 years,3.799,8.699225768906567
Argentina,Hydropower,50+ years,2.316,5.303344796206268
Argentina,Nuclear,0-9 years,0.745,1.7059550402304273
Argentina,Nuclear,10-19 years,0.0,0.0
Argentina,Nuclear,20-29 years,0.0,0.0
Argentina,Nuclear,30-39 years,0.0,0.0
Argentina,Nuclear,40-49 years,0.656,1.5021563844176646
Argentina,Nuclear,50+ years,0.362,0.828933858474382
Argentina,Bioenergy,0-9 years,0.108,0.2473062340199814
Argentina,Bioenergy,10-19 years,0.122,0.2793644495410901
Argentina,Bioenergy,20-29 years,0.0,0.0
Argentina,Bioenergy,30-39 years,0.0,0.0
Argentina,Bioenergy,40-49 years,0.0,0.0
Argentina,Bioenergy,50+ years,0.0,0.0
Armenia,Oil and gas,0-9 years,0.254,9.723604624454483
Armenia,Oil and gas,10-19 years,0.673,25.763724064007356
Armenia,Oil and gas,20-29 years,0.0,0.0
Armenia,Oil and gas,30-39 years,0.0,0.0
Armenia,Oil and gas,40-49 years,0.0,0.0
Armenia,Oil and gas,50+ years,0.2,7.656381594058649
Armenia,Utility-scale solar,0-9 years,0.15519999999999998,5.941352116989511
Armenia,Utility-scale solar,10-19 years,0.0,0.0
Armenia,Utility-scale solar,20-29 years,0.0,0.0
Armenia,Utility-scale solar,30-39 years,0.0,0.0
Armenia,Utility-scale solar,40-49 years,0.0,0.0
Armenia,Utility-scale solar,50+ years,0.0,0.0
Armenia,Hydropower,0-9 years,0.0,0.0
Armenia,Hydropower,10-19 years,0.0,0.0
Armenia,Hydropower,20-29 years,0.0,0.0
Armenia,Hydropower,30-39 years,0.076,2.9094250057422864
Armenia,Hydropower,40-49 years,0.171,6.546206262920144
Armenia,Hydropower,50+ years,0.635,24.30901156113621
Armenia,Nuclear,0-9 years,0.0,0.0
Armenia,Nuclear,10-19 years,0.0,0.0
Armenia,Nuclear,20-29 years,0.0,0.0
Armenia,Nuclear,30-39 years,0.0,0.0
Armenia,Nuclear,40-49 years,0.448,17.15029477069137
Armenia,Nuclear,50+ years,0.0,0.0
Aruba,Oil and gas,0-9 years,0.102,44.07951598962835
Aruba,Oil and gas,10-19 years,0.092,39.757994814174594
Aruba,Oil and gas,20-29 years,0.0,0.0
Aruba,Oil and gas,30-39 years,0.0,0.0
Aruba,Oil and gas,40-49 years,0.0,0.0
Aruba,Oil and gas,50+ years,0.0,0.0
Aruba,Utility-scale solar,0-9 years,0.0074,3.197925669835782
Aruba,Utility-scale solar,10-19 years,0.0,0.0
Aruba,Utility-scale solar,20-29 years,0.0,0.0
Aruba,Utility-scale solar,30-39 years,0.0,0.0
Aruba,Utility-scale solar,40-49 years,0.0,0.0
Aruba,Utility-scale solar,50+ years,0.0,0.0
Aruba,Wind,0-9 years,0.0,0.0
Aruba,Wind,10-19 years,0.03,12.964563526361278
Aruba,Wind,20-29 years,0.0,0.0
Aruba,Wind,30-39 years,0.0,0.0
Aruba,Wind,40-49 years,0.0,0.0
Aruba,Wind,50+ years,0.0,0.0
Australia,Coal,0-9 years,0.0,0.0
Australia,Coal,10-19 years,1.33,1.7809909055774997
Australia,Coal,20-29 years,4.133,5.534462716354742
Australia,Coal,30-39 years,6.178,8.272903620043454
Australia,Coal,40-49 years,10.268,13.74978542742088
Australia,Coal,50+ years,0.72,0.9641454526434586
Australia,Oil and gas,0-9 years,2.0004,2.6787174492610757
Australia,Oil and gas,10-19 years,9.537799999999999,12.771981247531636
Australia,Oil and gas,20-29 years,5.0681,6.786646622975434
Australia,Oil and gas,30-39 years,0.34,0.4552909081927443
Australia,Oil and gas,40-49 years,1.75,2.3434090862861843
Australia,Oil and gas,50+ years,0.221,0.2959390903252838
Australia,Utility-scale solar,0-9 years,10.598019,14.191710869276353
Australia,Utility-scale solar,10-19 years,0.06611,0.08852729982535978
Australia,Utility-scale solar,20-29 years,0.0,0.0
Australia,Utility-scale solar,30-39 years,0.0,0.0
Australia,Utility-scale solar,40-49 years,0.0,0.0
Australia,Utility-scale solar,50+ years,0.0,0.0
Australia,Wind,0-9 years,10.051200000000001,13.459470518902684
Australia,Wind,10-19 years,3.654,4.893038172165552
Australia,Wind,20-29 years,0.49889999999999995,0.6680724532275298
Australia,Wind,30-39 years,0.0,0.0
Australia,Wind,40-49 years,0.0,0.0
Australia,Wind,50+ years,0.0,0.0
Australia,Hydropower,0-9 years,0.0,0.0
Australia,Hydropower,10-19 years,0.14,0.1874727269028947
Australia,Hydropower,20-29 years,0.0,0.0
Australia,Hydropower,30-39 years,0.481,0.6441027260020883
Australia,Hydropower,40-49 years,1.583,2.1197809049091596
Australia,Hydropower,50+ years,5.743,7.690399075738032
Australia,Bioenergy,0-9 years,0.0,0.0
Australia,Bioenergy,10-19 years,0.176,0.23567999953506766
Australia,Bioenergy,20-29 years,0.128,0.17140363602550376
Australia,Bioenergy,30-39 years,0.012,0.016069090877390977
Australia,Bioenergy,40-49 years,0.0,0.0
Australia,Bioenergy,50+ years,0.0,0.0
Austria,Oil and gas,0-9 years,0.246,1.2594958821652518
Austria,Oil and gas,10-19 years,2.597,13.296385390175441
Austria,Oil and gas,20-29 years,1.379,7.060344802869439
Austria,Oil and gas,30-39 years,0.194,0.9932609802441416
Austria,Oil and gas,40-49 years,0.0,0.0
Austria,Oil and gas,50+ years,0.31,1.587169607606618
Austria,Utility-scale solar,0-9 years,0.06612399999999999,0.3385483972044516
Austria,Utility-scale solar,10-19 years,0.0,0.0
Austria,Utility-scale solar,20-29 years,0.0,0.0
Austria,Utility-scale solar,30-39 years,0.0,0.0
Austria,Utility-scale solar,40-49 years,0.0,0.0
Austria,Utility-scale solar,50+ years,0.0,0.0
Austria,Wind,0-9 years,1.078,5.519254312903013
Austria,Wind,10-19 years,1.438,7.362419018510698
Austria,Wind,20-29 years,0.498,2.5497111760906312
Austria,Wind,30-39 years,0.0,0.0
Austria,Wind,40-49 years,0.0,0.0
Austria,Wind,50+ years,0.0,0.0
Austria,Hydropower,0-9 years,0.899,4.602791862059192
Austria,Hydropower,10-19 years,1.145,5.862287744224443
Austria,Hydropower,20-29 years,0.172,0.8806231371236718
Austria,Hydropower,30-39 years,0.703,3.5992910778950074
Austria,Hydropower,40-49 years,3.266,16.721599801429722
Austria,Hydropower,50+ years,5.335,27.31467695671389
Austria,Bioenergy,0-9 years,0.111,0.5683091175623697
Austria,Bioenergy,10-19 years,0.0945,0.4838307352220174
Austria,Bioenergy,20-29 years,0.0,0.0
Austria,Bioenergy,30-39 years,0.0,0.0
Austria,Bioenergy,40-49 years,0.0,0.0
Austria,Bioenergy,50+ years,0.0,0.0
Azerbaijan,Oil and gas,0-9 years,2.0643000000000002,23.730859428886745
Azerbaijan,Oil and gas,10-19 years,2.1696,24.94137122361705
Azerbaijan,Oil and gas,20-29 years,0.507,5.828390122775556
Azerbaijan,Oil and gas,30-39 years,2.4,27.590012415505587
Azerbaijan,Oil and gas,40-49 years,0.0,0.0
Azerbaijan,Oil and gas,50+ years,0.0,0.0
Azerbaijan,Utility-scale solar,0-9 years,0.2675,3.0751368004782274
Azerbaijan,Utility-scale solar,10-19 years,0.0174,0.2000275900124155
Azerbaijan,Utility-scale solar,20-29 years,0.0,0.0
Azerbaijan,Utility-scale solar,30-39 years,0.0,0.0
Azerbaijan,Utility-scale solar,40-49 years,0.0,0.0
Azerbaijan,Utility-scale solar,50+ years,0.0,0.0
