,Country/Area,coal,oil/gas,solar,wind,hydropower,nuclear,bioenergy,geothermal
Capacity (MW),Malaysia,13280.0,18248.0,2078.9175925925924,0.0,6158.0,0.0,0.0,0.0
Capacity (MW),Maldives,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mali,0.0,254.0,126.77847769028871,0.0,450.0,0.0,0.0,0.0
Capacity (MW),Malta,0.0,547.8,3.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Marshall Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Martinique,0.0,279.6,27.95,14.0,0.0,0.0,40.0,0.0
Capacity (MW),Mauritania,0.0,420.0,133.20354330708662,130.0,0.0,0.0,0.0,0.0
Capacity (MW),Mauritius,195.0,0.0,89.55882677165354,39.4,0.0,0.0,0.0,0.0
Capacity (MW),Mayotte,0.0,0.0,14.468018372703412,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mexico,5378.0,51883.3,12787.320454545456,8334.6,11828.0,1608.0,306.0,941.0
Capacity (MW),Micronesia,0.0,0.0,2.001,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Moldova,0.0,1168.0,24.8,0.0,48.0,0.0,0.0,0.0
Capacity (MW),Mongolia,1145.0,0.0,107.4,155.0,0.0,0.0,0.0,0.0
Capacity (MW),Montenegro,0.0,0.0,3.2,118.0,649.0,0.0,0.0,0.0
Capacity (MW),Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Morocco,4092.0,1901.0,793.56,1291.0,1462.0,0.0,0.0,0.0
Capacity (MW),Mozambique,0.0,657.6,99.301,0.0,2171.0,0.0,0.0,0.0
Capacity (MW),Myanmar,150.0,2040.7,340.25625,210.0,3014.0,0.0,0.0,0.0
Capacity (MW),Namibia,120.0,0.0,203.74,6.0,332.0,0.0,0.0,0.0
Capacity (MW),Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Nepal,0.0,0.0,127.85,0.0,2530.0,0.0,0.0,0.0
Capacity (MW),Netherlands,3500.0,14985.5,3915.9325179856114,11454.1,0.0,515.0,1580.0,0.0
Capacity (MW),New Caledonia,370.0,253.0,98.6,38.5,68.0,0.0,0.0,0.0
Capacity (MW),New Zealand,750.0,1423.0,119.68606060606061,1233.0,4874.0,0.0,39.0,1376.7
Capacity (MW),Nicaragua,0.0,448.0,48.49589,189.0,104.0,0.0,82.0,158.6
Capacity (MW),Niger,30.0,189.0,38.9,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Nigeria,344.5,11008.0,44.518,10.0,2738.0,0.0,0.0,0.0
Capacity (MW),Norfolk Island,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0
Capacity (MW),North Korea,3250.0,0.0,0.0,0.0,3227.0,5.0,0.0,0.0
Capacity (MW),North Macedonia,824.0,418.0,188.18028797587635,73.0,446.0,0.0,0.0,0.0
Capacity (MW),Northern Mariana Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Norway,0.0,523.0,1.4,5834.4,27098.0,0.0,0.0,0.0
Capacity (MW),Oman,0.0,13625.3,1687.785,50.0,0.0,0.0,0.0,0.0
Capacity (MW),Pakistan,8329.5,20392.7,990.3118619246862,1941.0,11352.0,3530.0,202.0,0.0
Capacity (MW),Palau,0.0,0.0,13.311,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Palestine,0.0,140.0,29.75,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Panama,0.0,1291.0,503.3842671755725,336.5,1389.0,0.0,0.0,0.0
Capacity (MW),Papua New Guinea,0.0,58.0,0.87,0.0,188.0,0.0,0.0,30.0
Capacity (MW),Paraguay,0.0,0.0,1.8011,0.0,210.0,0.0,0.0,0.0
Capacity (MW),Peru,0.0,7122.4,462.36199999999997,1447.9,5552.0,0.0,38.0,0.0
Capacity (MW),Philippines,12642.4,6821.8,3188.0141506024097,835.0,3436.0,0.0,229.0,1937.0
Capacity (MW),Poland,27765.0,4951.5,2127.983696969697,8645.0,2101.0,0.0,713.0,0.0
Capacity (MW),Portugal,0.0,4651.5,2502.5466379310346,5639.6,7578.0,0.0,210.0,24.0
Capacity (MW),Puerto Rico,0.0,1742.0,161.8,127.0,0.0,0.0,0.0,0.0
Capacity (MW),Qatar,0.0,12577.5,703.3,0.0,0.0,0.0,50.0,0.0
Capacity (MW),Republic of the Congo,0.0,534.0,2.0,0.0,194.0,0.0,0.0,0.0
Capacity (MW),Romania,2260.0,3149.8,1761.6918947368422,5436.0,5653.0,1411.0,30.0,0.0
Capacity (MW),Russia,37192.1,112213.6,2213.042,2453.2,51941.0,28576.0,154.0,50.0
Capacity (MW),Rwanda,0.0,56.0,11.784724409448819,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Réunion,0.0,219.6,122.258,6.8,79.0,0.0,41.0,0.0
Capacity (MW),Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Samoa,0.0,0.0,7.806292035398231,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Sao Tome and Principe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Saudi Arabia,0.0,97655.4,3304.635,400.0,0.0,0.0,0.0,0.0
Capacity (MW),Senegal,155.0,713.5,229.96154855643044,208.0,0.0,0.0,0.0,0.0
Capacity (MW),Serbia,4785.0,594.0,34.066,509.6,1393.0,0.0,30.0,0.0
Capacity (MW),Seychelles,0.0,58.0,7.175,6.0,0.0,0.0,0.0,0.0
Capacity (MW),Sierra Leone,0.0,162.0,20.15,0.0,50.0,0.0,32.0,0.0
Capacity (MW),Singapore,0.0,14044.0,360.389,0.0,0.0,0.0,200.0,0.0
Capacity (MW),Slovakia,274.0,1076.0,445.95,0.0,2046.0,2471.0,0.0,0.0
Capacity (MW),Slovenia,1069.0,535.0,30.0,0.0,741.0,727.0,0.0,0.0
Capacity (MW),Solomon Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Somalia,0.0,65.0,26.56,0.0,0.0,0.0,0.0,0.0
Capacity (MW),South Africa,44224.1,3705.3,3992.285902439024,3746.0,3534.0,1940.0,0.0,0.0
Capacity (MW),South Korea,42245.0,51357.4,7450.105731707317,1453.2,6120.0,27071.0,1049.0,0.0
Capacity (MW),South Sudan,0.0,85.0,45.24,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Spain,2115.2,30771.0,28013.66595766773,29970.9,15232.0,7408.0,543.0,0.0
Capacity (MW),Sri Lanka,900.0,1175.4,37.062,225.0,1380.0,0.0,0.0,0.0
Capacity (MW),Sudan,0.0,1390.9,11.0,0.0,1850.0,0.0,138.0,0.0
Capacity (MW),Suriname,0.0,63.0,7.0009999999999994,0.0,180.0,0.0,0.0,0.0
Capacity (MW),Sweden,0.0,2619.0,229.62,13663.4,12676.0,7184.0,2529.0,0.0
Capacity (MW),Switzerland,0.0,98.8,84.65848148148149,55.0,13393.0,3095.0,0.0,0.0
Capacity (MW),Syria,0.0,7384.5,95.905,0.0,1585.0,0.0,0.0,0.0
Capacity (MW),Taiwan,18199.0,23165.8,3666.7887741935483,3566.0,4365.0,1902.0,249.0,5.2
Capacity (MW),Tajikistan,400.0,206.0,0.0,0.0,5756.0,0.0,0.0,0.0
Capacity (MW),Tanzania,0.0,445.0,139.4,0.0,2723.0,0.0,0.0,0.0
Capacity (MW),Thailand,6138.0,38582.7,3133.4746934306568,2137.0,3570.0,0.0,866.0,0.0
Capacity (MW),The Gambia,0.0,0.0,20.01,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Togo,0.0,165.0,45.9,0.0,66.0,0.0,0.0,0.0
Capacity (MW),Trinidad and Tobago,0.0,2056.6,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Tunisia,0.0,5451.0,42.3,253.0,0.0,0.0,0.0,0.0
Capacity (MW),Turkmenistan,0.0,7087.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Türkiye,20473.2,26065.3,4077.178854961832,12992.5,24944.0,0.0,120.0,1726.11
Capacity (MW),Uganda,0.0,189.0,107.89,0.0,1413.0,0.0,30.0,0.0
Capacity (MW),Ukraine,4742.0,2979.1,5258.756,526.7,6247.0,13835.0,0.0,0.0
Capacity (MW),United Arab Emirates,0.0,41655.1,6353.055,99.0,0.0,5668.0,220.0,0.0
Capacity (MW),United Kingdom,0.0,36457.9,9030.81261016949,29775.7,3859.0,6534.0,4305.0,0.0
Capacity (MW),United States,189883.2,560640.5,121310.6060638298,152379.1,91879.0,102475.0,7263.0,3733.5
Capacity (MW),Uruguay,0.0,1132.0,292.8182,1535.4,593.0,0.0,650.0,0.0
Capacity (MW),Uzbekistan,2493.0,14391.8,1390.1419354838708,1000.0,1708.0,0.0,0.0,0.0
Capacity (MW),Vanuatu,0.0,0.0,0.9570000000000001,3.4,0.0,0.0,0.0,0.0
Capacity (MW),Venezuela,0.0,2884.6,1.1,0.0,16010.0,0.0,0.0,0.0
Capacity (MW),Vietnam,27134.0,9770.0,12901.80572413793,7403.1,16745.0,0.0,0.0,0.0
Capacity (MW),Virgin Islands (U.S.),0.0,0.0,9.2924,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Western Sahara,0.0,72.0,413.5444444444444,753.0,0.0,0.0,0.0,0.0
Capacity (MW),Yemen,0.0,1683.9,175.95,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Zambia,330.0,105.0,161.95,0.0,4098.0,0.0,40.0,0.0
Capacity (MW),Zimbabwe,1670.0,0.0,150.9417847769029,0.0,0.0,0.0,74.0,0.0
