Country,Type,Age Category,Capacity (MW),Capacity %
Algeria,Hydropower,30-39 years,0.0,0.0
Algeria,Hydropower,40-49 years,0.0,0.0
Algeria,Hydropower,50+ years,0.196,0.7449876772956643
American Samoa,Oil and gas,0-9 years,0.023,94.6151631083138
American Samoa,Oil and gas,10-19 years,0.0,0.0
American Samoa,Oil and gas,20-29 years,0.0,0.0
American Samoa,Oil and gas,30-39 years,0.0,0.0
American Samoa,Oil and gas,40-49 years,0.0,0.0
American Samoa,Oil and gas,50+ years,0.0,0.0
American Samoa,Utility-scale solar,0-9 years,0.0013089999999999998,5.384836891686207
American Samoa,Utility-scale solar,10-19 years,0.0,0.0
American Samoa,Utility-scale solar,20-29 years,0.0,0.0
American Samoa,Utility-scale solar,30-39 years,0.0,0.0
American Samoa,Utility-scale solar,40-49 years,0.0,0.0
American Samoa,Utility-scale solar,50+ years,0.0,0.0
Andorra,Utility-scale solar,0-9 years,0.0033,6.832298136645963
Andorra,Utility-scale solar,10-19 years,0.0,0.0
Andorra,Utility-scale solar,20-29 years,0.0,0.0
Andorra,Utility-scale solar,30-39 years,0.0,0.0
Andorra,Utility-scale solar,40-49 years,0.0,0.0
Andorra,Utility-scale solar,50+ years,0.0,0.0
Andorra,Hydropower,0-9 years,0.0,0.0
Andorra,Hydropower,10-19 years,0.0,0.0
Andorra,Hydropower,20-29 years,0.0,0.0
Andorra,Hydropower,30-39 years,0.0,0.0
Andorra,Hydropower,40-49 years,0.0,0.0
Andorra,Hydropower,50+ years,0.045,93.16770186335404
Angola,Oil and gas,0-9 years,0.804,15.769609921830593
Angola,Oil and gas,10-19 years,0.0,0.0
Angola,Oil and gas,20-29 years,0.0,0.0
Angola,Oil and gas,30-39 years,0.0,0.0
Angola,Oil and gas,40-49 years,0.0,0.0
Angola,Oil and gas,50+ years,0.0,0.0
Angola,Utility-scale solar,0-9 years,0.49041399999999996,9.618952089806752
Angola,Utility-scale solar,10-19 years,0.0,0.0
Angola,Utility-scale solar,20-29 years,0.0,0.0
Angola,Utility-scale solar,30-39 years,0.0,0.0
Angola,Utility-scale solar,40-49 years,0.0,0.0
Angola,Utility-scale solar,50+ years,0.0,0.0
Angola,Wind,0-9 years,0.0,0.0
Angola,Wind,10-19 years,0.05,0.9806971344422011
Angola,Wind,20-29 years,0.0,0.0
Angola,Wind,30-39 years,0.0,0.0
Angola,Wind,40-49 years,0.0,0.0
Angola,Wind,50+ years,0.0,0.0
Angola,Hydropower,0-9 years,2.77,54.33062124809794
Angola,Hydropower,10-19 years,0.11,2.1575336957728424
Angola,Hydropower,20-29 years,0.52,10.199250198198891
Angola,Hydropower,30-39 years,0.0,0.0
Angola,Hydropower,40-49 years,0.0,0.0
Angola,Hydropower,50+ years,0.254,4.981941442966382
Angola,Bioenergy,0-9 years,0.0,0.0
Angola,Bioenergy,10-19 years,0.1,1.9613942688844022
Angola,Bioenergy,20-29 years,0.0,0.0
Angola,Bioenergy,30-39 years,0.0,0.0
Angola,Bioenergy,40-49 years,0.0,0.0
Angola,Bioenergy,50+ years,0.0,0.0
Anguilla,Utility-scale solar,0-9 years,0.0012,100.0
Anguilla,Utility-scale solar,10-19 years,0.0,0.0
Anguilla,Utility-scale solar,20-29 years,0.0,0.0
Anguilla,Utility-scale solar,30-39 years,0.0,0.0
Anguilla,Utility-scale solar,40-49 years,0.0,0.0
Anguilla,Utility-scale solar,50+ years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,0-9 years,0.010299999999999998,100.0
Antigua and Barbuda,Utility-scale solar,10-19 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,20-29 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,30-39 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,40-49 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,50+ years,0.0,0.0
