Country,Type,Age Category,Capacity (MW),Capacity %
Albania,Utility-scale solar,30-39 years,0.0,0.0
Albania,Utility-scale solar,40-49 years,0.0,0.0
Albania,Utility-scale solar,50+ years,0.0,0.0
Albania,Hydropower,0-9 years,0.341,16.582109452226355
Albania,Hydropower,10-19 years,0.045,2.1882549130503985
Albania,Hydropower,20-29 years,0.0,0.0
Albania,Hydropower,30-39 years,0.0,0.0
Albania,Hydropower,40-49 years,1.1,53.49067565234308
Albania,Hydropower,50+ years,0.25,12.156971739168883
Algeria,Oil and gas,0-9 years,10.643600000000001,40.49829345919325
Algeria,Oil and gas,10-19 years,9.498,36.13935052758629
Algeria,Oil and gas,20-29 years,1.947,7.408224413267058
Algeria,Oil and gas,30-39 years,2.496,9.497138230875487
Algeria,Oil and gas,40-49 years,0.7,2.6634602410307857
Algeria,Oil and gas,50+ years,0.395,1.5029525645816577
Algeria,Utility-scale solar,0-9 years,0.38260125,1.4557760250624
Algeria,Utility-scale solar,10-19 years,0.037399999999999996,0.14230487573507342
Algeria,Utility-scale solar,20-29 years,0.0,0.0
Algeria,Utility-scale solar,30-39 years,0.0,0.0
Algeria,Utility-scale solar,40-49 years,0.0,0.0
Algeria,Utility-scale solar,50+ years,0.0,0.0
Algeria,Wind,0-9 years,0.0,0.0
Algeria,Wind,10-19 years,0.01,0.038049432014725514
Algeria,Wind,20-29 years,0.0,0.0
Algeria,Wind,30-39 years,0.0,0.0
Algeria,Wind,40-49 years,0.0,0.0
Algeria,Wind,50+ years,0.0,0.0
Algeria,Hydropower,0-9 years,0.0,0.0
Algeria,Hydropower,10-19 years,0.0,0.0
Algeria,Hydropower,20-29 years,0.0,0.0
Algeria,Hydropower,30-39 years,0.0,0.0
Algeria,Hydropower,40-49 years,0.0,0.0
Algeria,Hydropower,50+ years,0.172,0.6544502306532788
American Samoa,Oil and gas,0-9 years,0.023,94.60837836542947
American Samoa,Oil and gas,10-19 years,0.0,0.0
American Samoa,Oil and gas,20-29 years,0.0,0.0
American Samoa,Oil and gas,30-39 years,0.0,0.0
American Samoa,Oil and gas,40-49 years,0.0,0.0
American Samoa,Oil and gas,50+ years,0.0,0.0
American Samoa,Utility-scale solar,0-9 years,0.001310743295019157,5.3916216345705275
American Samoa,Utility-scale solar,10-19 years,0.0,0.0
American Samoa,Utility-scale solar,20-29 years,0.0,0.0
American Samoa,Utility-scale solar,30-39 years,0.0,0.0
American Samoa,Utility-scale solar,40-49 years,0.0,0.0
American Samoa,Utility-scale solar,50+ years,0.0,0.0
Andorra,Utility-scale solar,0-9 years,0.0033,6.832298136645963
Andorra,Utility-scale solar,10-19 years,0.0,0.0
Andorra,Utility-scale solar,20-29 years,0.0,0.0
Andorra,Utility-scale solar,30-39 years,0.0,0.0
Andorra,Utility-scale solar,40-49 years,0.0,0.0
Andorra,Utility-scale solar,50+ years,0.0,0.0
Andorra,Hydropower,0-9 years,0.0,0.0
Andorra,Hydropower,10-19 years,0.0,0.0
Andorra,Hydropower,20-29 years,0.0,0.0
Andorra,Hydropower,30-39 years,0.0,0.0
Andorra,Hydropower,40-49 years,0.0,0.0
Andorra,Hydropower,50+ years,0.045,93.16770186335404
Angola,Oil and gas,0-9 years,0.804,16.00677519277944
Angola,Oil and gas,10-19 years,0.0,0.0
Angola,Oil and gas,20-29 years,0.0,0.0
Angola,Oil and gas,30-39 years,0.0,0.0
Angola,Oil and gas,40-49 years,0.0,0.0
Angola,Oil and gas,50+ years,0.0,0.0
Angola,Utility-scale solar,0-9 years,0.48887306666666663,9.732936910370658
Angola,Utility-scale solar,10-19 years,0.0,0.0
Angola,Utility-scale solar,20-29 years,0.0,0.0
Angola,Utility-scale solar,30-39 years,0.0,0.0
Angola,Utility-scale solar,40-49 years,0.0,0.0
Angola,Utility-scale solar,50+ years,0.0,0.0
Angola,Wind,0-9 years,0.0,0.0
Angola,Wind,10-19 years,0.05,0.9954462184564328
Angola,Wind,20-29 years,0.0,0.0
Angola,Wind,30-39 years,0.0,0.0
Angola,Wind,40-49 years,0.0,0.0
Angola,Wind,50+ years,0.0,0.0
Angola,Hydropower,0-9 years,2.77,55.147720502486386
Angola,Hydropower,10-19 years,0.11,2.1899816806041525
Angola,Hydropower,20-29 years,0.52,10.352640671946903
Angola,Hydropower,30-39 years,0.0,0.0
Angola,Hydropower,40-49 years,0.0,0.0
Angola,Hydropower,50+ years,0.18,3.5836063864431584
Angola,Bioenergy,0-9 years,0.0,0.0
Angola,Bioenergy,10-19 years,0.1,1.9908924369128655
Angola,Bioenergy,20-29 years,0.0,0.0
Angola,Bioenergy,30-39 years,0.0,0.0
Angola,Bioenergy,40-49 years,0.0,0.0
Angola,Bioenergy,50+ years,0.0,0.0
Anguilla,Utility-scale solar,0-9 years,0.0012,100.0
Anguilla,Utility-scale solar,10-19 years,0.0,0.0
Anguilla,Utility-scale solar,20-29 years,0.0,0.0
Anguilla,Utility-scale solar,30-39 years,0.0,0.0
Anguilla,Utility-scale solar,40-49 years,0.0,0.0
Anguilla,Utility-scale solar,50+ years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,0-9 years,0.010299999999999998,100.0
Antigua and Barbuda,Utility-scale solar,10-19 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,20-29 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,30-39 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,40-49 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,50+ years,0.0,0.0
Argentina,Coal,0-9 years,0.0,0.0
Argentina,Coal,10-19 years,0.0,0.0
Argentina,Coal,20-29 years,0.0,0.0
Argentina,Coal,30-39 years,0.0,0.0
Argentina,Coal,40-49 years,0.375,0.8320481124272284
Argentina,Coal,50+ years,0.15,0.3328192449708914
Argentina,Oil and gas,0-9 years,7.5972,16.856629119285707
Argentina,Oil and gas,10-19 years,4.438,9.84701206120544
Argentina,Oil and gas,20-29 years,7.233,16.048543992496384
Argentina,Oil and gas,30-39 years,1.147,2.544957826544083
Argentina,Oil and gas,40-49 years,0.436,0.9673946053820578
Argentina,Oil and gas,50+ years,2.151,4.772627972882583
Argentina,Utility-scale solar,0-9 years,2.6962441304347826,5.982412904990013
Argentina,Utility-scale solar,10-19 years,0.029765,0.06604243217705721
Argentina,Utility-scale solar,20-29 years,0.0,0.0
Argentina,Utility-scale solar,30-39 years,0.0,0.0
Argentina,Utility-scale solar,40-49 years,0.0,0.0
Argentina,Utility-scale solar,50+ years,0.0,0.0
Argentina,Wind,0-9 years,4.466,9.909138320266674
Argentina,Wind,10-19 years,0.18930000000000002,0.42001788715326493
Argentina,Wind,20-29 years,0.018,0.039938309396506964
Argentina,Wind,30-39 years,0.0,0.0
Argentina,Wind,40-49 years,0.0,0.0
Argentina,Wind,50+ years,0.0,0.0
Argentina,Hydropower,0-9 years,0.0,0.0
Argentina,Hydropower,10-19 years,0.125,0.2773493708090762
Argentina,Hydropower,20-29 years,0.516,1.1448982026998664
Argentina,Hydropower,30-39 years,5.394,11.968180049153254
Argentina,Hydropower,40-49 years,3.799,8.429202077629443
Argentina,Hydropower,50+ years,2.316,5.138729142350564
Argentina,Nuclear,0-9 years,0.745,1.653002250022094
Argentina,Nuclear,10-19 years,0.0,0.0
Argentina,Nuclear,20-29 years,0.0,0.0
Argentina,Nuclear,30-39 years,0.0,0.0
Argentina,Nuclear,40-49 years,0.656,1.4555294980060318
Argentina,Nuclear,50+ years,0.362,0.8032037778630846
Argentina,Bioenergy,0-9 years,0.108,0.23962985637904183
Argentina,Bioenergy,10-19 years,0.122,0.27069298590965835
Argentina,Bioenergy,20-29 years,0.0,0.0
Argentina,Bioenergy,30-39 years,0.0,0.0
Argentina,Bioenergy,40-49 years,0.0,0.0
Argentina,Bioenergy,50+ years,0.0,0.0
Armenia,Oil and gas,0-9 years,0.254,10.337810337810339
Armenia,Oil and gas,10-19 years,0.673,27.39112739112739
Armenia,Oil and gas,20-29 years,0.0,0.0
Armenia,Oil and gas,30-39 years,0.0,0.0
Armenia,Oil and gas,40-49 years,0.0,0.0
Armenia,Oil and gas,50+ years,0.2,8.14000814000814
Armenia,Hydropower,0-9 years,0.0,0.0
Armenia,Hydropower,10-19 years,0.0,0.0
Armenia,Hydropower,20-29 years,0.0,0.0
Armenia,Hydropower,30-39 years,0.076,3.093203093203093
Armenia,Hydropower,40-49 years,0.171,6.95970695970696
Armenia,Hydropower,50+ years,0.635,25.844525844525844
Armenia,Nuclear,0-9 years,0.0,0.0
Armenia,Nuclear,10-19 years,0.0,0.0
Armenia,Nuclear,20-29 years,0.0,0.0
Armenia,Nuclear,30-39 years,0.0,0.0
Armenia,Nuclear,40-49 years,0.448,18.233618233618234
Armenia,Nuclear,50+ years,0.0,0.0
Aruba,Oil and gas,0-9 years,0.102,43.81443298969072
Aruba,Oil and gas,10-19 years,0.092,39.51890034364261
Aruba,Oil and gas,20-29 years,0.0,0.0
Aruba,Oil and gas,30-39 years,0.0,0.0
Aruba,Oil and gas,40-49 years,0.0,0.0
Aruba,Oil and gas,50+ years,0.0,0.0
Aruba,Utility-scale solar,0-9 years,0.0088,3.780068728522337
Aruba,Utility-scale solar,10-19 years,0.0,0.0
Aruba,Utility-scale solar,20-29 years,0.0,0.0
Aruba,Utility-scale solar,30-39 years,0.0,0.0
Aruba,Utility-scale solar,40-49 years,0.0,0.0
Aruba,Utility-scale solar,50+ years,0.0,0.0
Aruba,Wind,0-9 years,0.0,0.0
Aruba,Wind,10-19 years,0.03,12.886597938144329
Aruba,Wind,20-29 years,0.0,0.0
Aruba,Wind,30-39 years,0.0,0.0
Aruba,Wind,40-49 years,0.0,0.0
Aruba,Wind,50+ years,0.0,0.0
Australia,Coal,0-9 years,0.0,0.0
