Country,Type,Age Category,Capacity (GW),Capacity %
BRICS,Geothermal,50+ years,0.012,0.0002755451950140074
EU27,Coal,0-9 years,6.874,0.8027485787440953
EU27,Coal,10-19 years,14.6,1.7049940718160885
EU27,Coal,20-29 years,8.983600000000001,1.0491085440799324
EU27,Coal,30-39 years,9.494,1.1087132683439687
EU27,Coal,40-49 years,20.2602,2.365994581767693
EU27,Coal,50+ years,18.4161,2.1506398168474155
EU27,Oil and gas,0-9 years,24.1095,2.8155174366061635
EU27,Oil and gas,10-19 years,68.5588,8.006325176083893
EU27,Oil and gas,20-29 years,71.0395,8.296022353751988
EU27,Oil and gas,30-39 years,14.2623,1.6655573253741502
EU27,Oil and gas,40-49 years,5.6833,0.6636981375583818
EU27,Oil and gas,50+ years,14.2466,1.663723872844869
EU27,Utility-scale solar,0-9 years,97.71653953660626,11.41137812522576
EU27,Utility-scale solar,10-19 years,17.49562305675863,2.043146136609749
EU27,Utility-scale solar,20-29 years,0.375492,0.04385011191879224
EU27,Utility-scale solar,30-39 years,0.0,0.0
EU27,Utility-scale solar,40-49 years,0.005,0.0005839020793890713
EU27,Utility-scale solar,50+ years,0.0,0.0
EU27,Wind,0-9 years,85.8696,10.027887599261561
EU27,Wind,10-19 years,73.8271,8.621559441052982
EU27,Wind,20-29 years,25.4085,2.967215196831444
EU27,Wind,30-39 years,0.343,0.040055682646090295
EU27,Wind,40-49 years,0.0,0.0
EU27,Wind,50+ years,0.023,0.0026859495651897283
EU27,Hydropower,0-9 years,3.289,0.38409078782213113
EU27,Hydropower,10-19 years,4.587,0.5356717676315341
EU27,Hydropower,20-29 years,3.213,0.37521547621541723
EU27,Hydropower,30-39 years,11.851,1.383964708567977
EU27,Hydropower,40-49 years,16.731,1.9538531380517106
EU27,Hydropower,50+ years,80.5135,9.402400013778399
EU27,Nuclear,0-9 years,3.841,0.4485535773866846
EU27,Nuclear,10-19 years,0.705,0.08233019319385906
EU27,Nuclear,20-29 years,9.406,1.0984365917467211
EU27,Nuclear,30-39 years,27.006,3.153771911196252
EU27,Nuclear,40-49 years,59.005,6.890628438870432
EU27,Nuclear,50+ years,2.432,0.2840099714148443
EU27,Bioenergy,0-9 years,3.028366,0.3536538409102329
EU27,Bioenergy,10-19 years,4.775829,0.5577232967813258
EU27,Bioenergy,20-29 years,3.952705,0.46159853374231585
EU27,Bioenergy,30-39 years,1.99939,0.23348959570194308
EU27,Bioenergy,40-49 years,1.7972000000000001,0.20987776341560785
EU27,Bioenergy,50+ years,1.6750999999999998,0.1956188746369267
EU27,Geothermal,0-9 years,0.0517,0.006037547500882998
EU27,Geothermal,10-19 years,0.111,0.012962626162437384
EU27,Geothermal,20-29 years,0.398,0.04647860551937008
EU27,Geothermal,30-39 years,0.32,0.037369733080900566
EU27,Geothermal,40-49 years,0.038,0.004437655803356942
EU27,Geothermal,50+ years,0.0,0.0
G7,Coal,0-9 years,18.17,0.6911797425459988
G7,Coal,10-19 years,40.214,1.5297249403822122
G7,Coal,20-29 years,31.6939,1.2056236456950264
G7,Coal,30-39 years,33.770300000000006,1.28460909519544
G7,Coal,40-49 years,101.3394,3.8549114145165655
G7,Coal,50+ years,93.979,3.5749246573874753
G7,Oil and gas,0-9 years,149.1088,5.672040836287442
G7,Oil and gas,10-19 years,214.0788,8.143474401131336
G7,Oil and gas,20-29 years,360.6175,13.717749631677586
G7,Oil and gas,30-39 years,77.89439999999999,2.9630727208461773
G7,Oil and gas,40-49 years,35.5121,1.3508664906586552
G7,Oil and gas,50+ years,94.641,3.6001068802584415
G7,Utility-scale solar,0-9 years,252.09260548624485,9.589504796793218
G7,Utility-scale solar,10-19 years,59.98490417389336,2.2818024558920214
G7,Utility-scale solar,20-29 years,0.38429199999999997,0.014618318416207319
G7,Utility-scale solar,30-39 years,0.0,0.0
G7,Utility-scale solar,40-49 years,0.005,0.00019019805793780926
G7,Utility-scale solar,50+ years,0.0,0.0
G7,Wind,0-9 years,200.3932,7.622879492788599
G7,Wind,10-19 years,159.1594,6.054361756509392
G7,Wind,20-29 years,34.6082,1.316482485744658
G7,Wind,30-39 years,0.6996,0.02661251226665827
G7,Wind,40-49 years,0.1846,0.007022112299063917
G7,Wind,50+ years,0.023,0.0008749110665139225
G7,Hydropower,0-9 years,6.898,0.2623972407310016
G7,Hydropower,10-19 years,12.367,0.47043587650337737
G7,Hydropower,20-29 years,8.275,0.31477778588707434
G7,Hydropower,30-39 years,30.651,1.1659521347703583
G7,Hydropower,40-49 years,55.517,2.111845116506671
G7,Hydropower,50+ years,227.2495,8.644482713467637
G7,Nuclear,0-9 years,9.342,0.3553660514510028
G7,Nuclear,10-19 years,1.923,0.07315017308288144
G7,Nuclear,20-29 years,10.586,0.40268732826592973
G7,Nuclear,30-39 years,65.934,2.508103750414303
G7,Nuclear,40-49 years,117.117,4.455085190300482
G7,Nuclear,50+ years,35.74,1.3595357181394605
G7,Bioenergy,0-9 years,7.8383959999999995,0.29816953930949847
G7,Bioenergy,10-19 years,8.837479,0.3361742685732345
G7,Bioenergy,20-29 years,5.227645000000001,0.19885758531765976
G7,Bioenergy,30-39 years,6.64179,0.25265111184615247
G7,Bioenergy,40-49 years,4.8019,0.18266241088231325
G7,Bioenergy,50+ years,5.6975,0.21673068702013362
G7,Geothermal,0-9 years,0.49360000000000004,0.01877635227962053
G7,Geothermal,10-19 years,0.694,0.026399490441767925
G7,Geothermal,20-29 years,0.5812999999999999,0.0221124262158497
G7,Geothermal,30-39 years,1.4122999999999999,0.0537233434451136
G7,Geothermal,40-49 years,1.635,0.06219476494566362
G7,Geothermal,50+ years,0.3782,0.01438658110241589
G20,Coal,0-9 years,549.3068000000001,7.292234953775736
G20,Coal,10-19 years,805.8036,10.697317378554793
G20,Coal,20-29 years,303.2658,4.025956836952977
G20,Coal,30-39 years,141.2276,1.8748445152287543
G20,Coal,40-49 years,158.756,2.1075399982698575
G20,Coal,50+ years,118.9001,1.578439344328944
G20,Oil and gas,0-9 years,422.3476,5.606808310698671
G20,Oil and gas,10-19 years,465.1752,6.175359294786846
G20,Oil and gas,20-29 years,473.7605,6.289332077844785
G20,Oil and gas,30-39 years,132.04109999999997,1.7528905973037239
G20,Oil and gas,40-49 years,87.292,1.1588310459382472
G20,Oil and gas,50+ years,131.74220000000003,1.7489225979494771
G20,Utility-scale solar,0-9 years,913.4106584883067,12.12583774855826
G20,Utility-scale solar,10-19 years,129.05494257509474,1.7132483399142817
G20,Utility-scale solar,20-29 years,0.38429199999999997,0.005101607252734511
G20,Utility-scale solar,30-39 years,0.0,0.0
G20,Utility-scale solar,40-49 years,0.005,6.637670381811891e-05
G20,Utility-scale solar,50+ years,0.0,0.0
G20,Wind,0-9 years,647.9205999999999,8.601366752771579
G20,Wind,10-19 years,339.52410000000003,4.507298124962678
G20,Wind,20-29 years,37.237199999999994,0.49433651908321147
G20,Wind,30-39 years,0.9276,0.01231420609233742
G20,Wind,40-49 years,0.1846,0.00245062790496495
G20,Wind,50+ years,0.023,0.000305332837563347
G20,Hydropower,0-9 years,149.452,1.9840262278051017
G20,Hydropower,10-19 years,250.615,3.326999525475574
G20,Hydropower,20-29 years,86.123,1.143312172585571
G20,Hydropower,30-39 years,86.765,1.1518349413558175
G20,Hydropower,40-49 years,129.452,1.7185194125326257
G20,Hydropower,50+ years,328.5505,4.361619845558976
G20,Nuclear,0-9 years,54.71,0.7262938931778571
G20,Nuclear,10-19 years,40.751,0.5409834114584328
G20,Nuclear,20-29 years,28.868,0.38323253716429134
G20,Nuclear,30-39 years,80.893,1.0738821403918186
G20,Nuclear,40-49 years,135.051,1.7928480454681552
G20,Nuclear,50+ years,37.559,0.4986085237409456
G20,Bioenergy,0-9 years,41.247606,0.5475760253336929
G20,Bioenergy,10-19 years,28.951179,0.3843367667336688
G20,Bioenergy,20-29 years,9.697445,0.12873688691149962
G20,Bioenergy,30-39 years,7.86209,0.10437192386427892
G20,Bioenergy,40-49 years,5.5097,0.07314314500533795
G20,Bioenergy,50+ years,6.4015,0.08498209389833765
G20,Geothermal,0-9 years,2.8562600000000002,0.03791782480950807
G20,Geothermal,10-19 years,2.66045,0.03531838033458289
G20,Geothermal,20-29 years,1.35775,0.018024593921810193
G20,Geothermal,30-39 years,1.9073,0.02532005743845964
G20,Geothermal,40-49 years,1.915,0.025422277562339543
G20,Geothermal,50+ years,0.3902,0.005180037965966
OECD,Coal,0-9 years,34.916,1.1066884310707121
OECD,Coal,10-19 years,66.49419999999999,2.1075828237284377
OECD,Coal,20-29 years,49.0089,1.553373314512012
OECD,Coal,30-39 years,50.2473,1.5926253179785597
OECD,Coal,40-49 years,117.6484,3.728953007617698
OECD,Coal,50+ years,93.365,2.9592726935192184
OECD,Oil and gas,0-9 years,191.7416,6.077391753780159
OECD,Oil and gas,10-19 years,272.1277,8.625288617364
OECD,Oil and gas,20-29 years,408.44319999999993,12.945909158824062
OECD,Oil and gas,30-39 years,90.6541,2.8733487140316027
OECD,Oil and gas,40-49 years,42.3461,1.3421909431482266
OECD,Oil and gas,50+ years,95.03379999999999,3.0121665431517877
OECD,Utility-scale solar,0-9 years,310.22062877456705,9.83267215443623
OECD,Utility-scale solar,10-19 years,61.767540596585725,1.9577678598330843
OECD,Utility-scale solar,20-29 years,0.38429199999999997,0.012180419021452229
OECD,Utility-scale solar,30-39 years,0.0,0.0
OECD,Utility-scale solar,40-49 years,0.005,0.0001584786961666159
OECD,Utility-scale solar,50+ years,0.0,0.0
OECD,Wind,0-9 years,229.5732,7.276492282159548
OECD,Wind,10-19 years,169.5229,5.373153632476722
OECD,Wind,20-29 years,35.9274,1.138745501731295
OECD,Wind,30-39 years,0.8056,0.02553408752636515
OECD,Wind,40-49 years,0.1846,0.005851033462471458
OECD,Wind,50+ years,0.023,0.0007290020023664331
OECD,Hydropower,0-9 years,15.551,0.49290044081740875
OECD,Hydropower,10-19 years,31.725,1.0055473271771778
OECD,Hydropower,20-29 years,18.124,0.5744535778647493
OECD,Hydropower,30-39 years,46.801,1.483392291858758
OECD,Hydropower,40-49 years,73.728,2.3368634621944513
OECD,Hydropower,50+ years,269.969,8.556867025081024
OECD,Nuclear,0-9 years,13.688,0.43385127862572764
OECD,Nuclear,10-19 years,6.897,0.21860551349222995
OECD,Nuclear,20-29 years,18.703,0.5928054108808434
OECD,Nuclear,30-39 years,69.887,2.2151201277992567
OECD,Nuclear,40-49 years,123.25,3.9064998605070818
OECD,Nuclear,50+ years,36.5,1.1568944820162959
OECD,Bioenergy,0-9 years,9.446005999999999,0.29939814297240613
OECD,Bioenergy,10-19 years,10.411379,0.32999635384329706
OECD,Bioenergy,20-29 years,5.701944999999999,0.18072736184275093
OECD,Bioenergy,30-39 years,6.9686900000000005,0.2208777810378669
OECD,Bioenergy,40-49 years,4.8694,0.15433923262274388
OECD,Bioenergy,50+ years,5.7075,0.18090343167419204
OECD,Geothermal,0-9 years,2.1436599999999997,0.06794488836490556
OECD,Geothermal,10-19 years,2.4255,0.07687801551042536
OECD,Geothermal,20-29 years,1.3168,0.04173694942243996
OECD,Geothermal,30-39 years,1.8224,0.05776231517880816
OECD,Geothermal,40-49 years,1.923,0.060950906545680465
OECD,Geothermal,50+ years,0.5712,0.0181046062500742
African Union,Coal,0-9 years,11.545,4.384421306611098
African Union,Coal,10-19 years,2.9493,1.1200496976689573
African Union,Coal,20-29 years,4.279,1.625027178084789
African Union,Coal,30-39 years,14.016,5.322827980377752
African Union,Coal,40-49 years,13.0313,4.948870452389883
African Union,Coal,50+ years,7.062,2.6819214610036877
African Union,Oil and gas,0-9 years,47.412600000000005,18.00578723619137
African Union,Oil and gas,10-19 years,51.5414,19.57377326397274
African Union,Oil and gas,20-29 years,14.0108,5.320853186891881
African Union,Oil and gas,30-39 years,9.533,3.6203281347703418
African Union,Oil and gas,40-49 years,7.199,2.7339496739968205
African Union,Oil and gas,50+ years,0.997,0.37862867411790946
African Union,Utility-scale solar,0-9 years,12.473764825212607,4.73713644636797
African Union,Utility-scale solar,10-19 years,2.071650375959509,0.7867464745089443
African Union,Utility-scale solar,20-29 years,0.0,0.0
African Union,Utility-scale solar,30-39 years,0.0,0.0
African Union,Utility-scale solar,40-49 years,0.0,0.0
African Union,Utility-scale solar,50+ years,0.0,0.0
African Union,Wind,0-9 years,8.152,3.0958685570804394
African Union,Wind,10-19 years,3.0375,1.1535452333331495
African Union,Wind,20-29 years,0.245,0.09304315462275609
African Union,Wind,30-39 years,0.0,0.0
African Union,Wind,40-49 years,0.0,0.0
African Union,Wind,50+ years,0.0,0.0
African Union,Hydropower,0-9 years,15.606,5.9266590654805364
African Union,Hydropower,10-19 years,7.755,2.9451006697937694
African Union,Hydropower,20-29 years,2.365,0.8981512680931354
African Union,Hydropower,30-39 years,2.211,0.8396669994731172
African Union,Hydropower,40-49 years,6.66,2.529254733826757
African Union,Hydropower,50+ years,12.609,4.788494435258496
African Union,Nuclear,0-9 years,0.0,0.0
African Union,Nuclear,10-19 years,0.0,0.0
African Union,Nuclear,20-29 years,0.0,0.0
African Union,Nuclear,30-39 years,0.0,0.0
African Union,Nuclear,40-49 years,1.94,0.7367498774210074
African Union,Nuclear,50+ years,0.0,0.0
African Union,Bioenergy,0-9 years,0.256,0.09722060238132882
African Union,Bioenergy,10-19 years,0.37839999999999996,0.14370420289490163
African Union,Bioenergy,20-29 years,0.041,0.015570487100134691
African Union,Bioenergy,30-39 years,0.0295,0.011203155352535936
African Union,Bioenergy,40-49 years,0.0345,0.013101995242796266
African Union,Bioenergy,50+ years,0.045700000000000005,0.017355396596979402
African Union,Geothermal,0-9 years,0.317,0.1203864490425048
African Union,Geothermal,10-19 years,0.4055,0.15399591510011262
African Union,Geothermal,20-29 years,0.129,0.04899006916871647
African Union,Geothermal,30-39 years,0.0,0.0
African Union,Geothermal,40-49 years,0.0,0.0
African Union,Geothermal,50+ years,0.0,0.0
Afghanistan,Oil and gas,0-9 years,0.0,0.0
Afghanistan,Oil and gas,10-19 years,0.105,16.553365143429918
Afghanistan,Oil and gas,20-29 years,0.0,0.0
Afghanistan,Oil and gas,30-39 years,0.0,0.0
Afghanistan,Oil and gas,40-49 years,0.0,0.0
Afghanistan,Oil and gas,50+ years,0.0,0.0
Afghanistan,Utility-scale solar,0-9 years,0.06987211170784102,11.015415032784926
Afghanistan,Utility-scale solar,10-19 years,0.01044,1.645877448546746
Afghanistan,Utility-scale solar,20-29 years,0.0,0.0
Afghanistan,Utility-scale solar,30-39 years,0.0,0.0
Afghanistan,Utility-scale solar,40-49 years,0.0,0.0
Afghanistan,Utility-scale solar,50+ years,0.0,0.0
Afghanistan,Hydropower,0-9 years,0.1,15.765109660409445
Afghanistan,Hydropower,10-19 years,0.042,6.621346057371967
Afghanistan,Hydropower,20-29 years,0.0,0.0
Afghanistan,Hydropower,30-39 years,0.0,0.0
Afghanistan,Hydropower,40-49 years,0.0,0.0
Afghanistan,Hydropower,50+ years,0.212,33.422032480068026
Albania,Oil and gas,0-9 years,0.1102,5.007649671867726
Albania,Oil and gas,10-19 years,0.0,0.0
Albania,Oil and gas,20-29 years,0.0,0.0
Albania,Oil and gas,30-39 years,0.0,0.0
Albania,Oil and gas,40-49 years,0.0,0.0
Albania,Oil and gas,50+ years,0.0,0.0
Albania,Utility-scale solar,0-9 years,0.3204331756609924,14.560953602126151
Albania,Utility-scale solar,10-19 years,0.0,0.0
Albania,Utility-scale solar,20-29 years,0.0,0.0
Albania,Utility-scale solar,30-39 years,0.0,0.0
Albania,Utility-scale solar,40-49 years,0.0,0.0
Albania,Utility-scale solar,50+ years,0.0,0.0
Albania,Hydropower,0-9 years,0.269,12.223754643669857
Albania,Hydropower,10-19 years,0.151,6.861661528602782
Albania,Hydropower,20-29 years,0.0,0.0
Albania,Hydropower,30-39 years,0.0,0.0
Albania,Hydropower,40-49 years,1.1,49.98561378452357
Albania,Hydropower,50+ years,0.25,11.360366769209904
Algeria,Oil and gas,0-9 years,9.6896,35.77663070194552
Algeria,Oil and gas,10-19 years,10.116,37.351015127650356
Algeria,Oil and gas,20-29 years,2.877,10.622664148106965
Algeria,Oil and gas,30-39 years,1.992,7.3550041651126445
Algeria,Oil and gas,40-49 years,1.204,4.445494485339168
Algeria,Oil and gas,50+ years,0.395,1.458447111053963
Algeria,Utility-scale solar,0-9 years,0.268681875,0.9920463402185115
Algeria,Utility-scale solar,10-19 years,0.151319375,0.5587121653550412
Algeria,Utility-scale solar,20-29 years,0.0,0.0
Algeria,Utility-scale solar,30-39 years,0.0,0.0
Algeria,Utility-scale solar,40-49 years,0.0,0.0
Algeria,Utility-scale solar,50+ years,0.0,0.0
Algeria,Wind,0-9 years,0.0,0.0
Algeria,Wind,10-19 years,0.01,0.03692271167225223
Algeria,Wind,20-29 years,0.0,0.0
Algeria,Wind,30-39 years,0.0,0.0
Algeria,Wind,40-49 years,0.0,0.0
Algeria,Wind,50+ years,0.0,0.0
Algeria,Hydropower,0-9 years,0.0,0.0
Algeria,Hydropower,10-19 years,0.0,0.0
Algeria,Hydropower,20-29 years,0.0,0.0
Algeria,Hydropower,30-39 years,0.0,0.0
Algeria,Hydropower,40-49 years,0.0,0.0
Algeria,Hydropower,50+ years,0.196,0.7236851487761436
Andorra,Utility-scale solar,0-9 years,0.0033,4.97737556561086
Andorra,Utility-scale solar,10-19 years,0.0,0.0
Andorra,Utility-scale solar,20-29 years,0.0,0.0
Andorra,Utility-scale solar,30-39 years,0.0,0.0
Andorra,Utility-scale solar,40-49 years,0.0,0.0
Andorra,Utility-scale solar,50+ years,0.0,0.0
Andorra,Hydropower,0-9 years,0.0,0.0
Andorra,Hydropower,10-19 years,0.0,0.0
Andorra,Hydropower,20-29 years,0.0,0.0
Andorra,Hydropower,30-39 years,0.0,0.0
Andorra,Hydropower,40-49 years,0.0,0.0
Andorra,Hydropower,50+ years,0.045,67.87330316742081
Angola,Oil and gas,0-9 years,0.804,15.396774102615746
Angola,Oil and gas,10-19 years,0.0,0.0
Angola,Oil and gas,20-29 years,0.0,0.0
Angola,Oil and gas,30-39 years,0.0,0.0
